 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	
09:30 17.12.2019 	 3,84 	 14 	 20 	 12 	  
09:20 17.12.2019 	 3,81 	 16 	 21 	 2 	  
09:10 17.12.2019 	 3,77 	 15 	 20 	 6 	  
09:00 17.12.2019 	 3,72 	 15 	 20 	 5 	  
08:50 17.12.2019 	 3,67 	 15 	 19 	 7 	  
08:40 17.12.2019 	 3,6 	 14 	 17 	 4 	  
08:30 17.12.2019 	 3,53 	 15 	 19 	 1 	  
08:20 17.12.2019 	 3,44 	 14 	 18 	 4 	  
08:10 17.12.2019 	 3,35 	 14 	 18 	 7 	  
08:00 17.12.2019 	 3,26 	 13 	 18 	 3 	  
07:50 17.12.2019 	 3,15 	 15 	 19 	 356 	  
07:40 17.12.2019 	 3,05 	 15 	 20 	 358 	  
07:30 17.12.2019 	 2,93 	 14 	 19 	 354 	  
07:20 17.12.2019 	 2,81 	 15 	 19 	 355 	  
07:10 17.12.2019 	 2,69 	 15 	 19 	 355 	  
07:00 17.12.2019 	 2,57 	 15 	 20 	 360 	  
06:50 17.12.2019 	 2,44 	 14 	 18 	 357 	  
06:40 17.12.2019 	 2,31 	 14 	 18 	 360 	  
06:30 17.12.2019 	 2,18 	 14 	 18 	 358 	  
06:20 17.12.2019 	 2,05 	 15 	 19 	 2 	  
06:10 17.12.2019 	 1,92 	 14 	 17 	 360 	  
06:00 17.12.2019 	 1,8 	 14 	 16 	 1 	  
05:50 17.12.2019 	 1,68 	 14 	 18 	 359 	  
05:40 17.12.2019 	 1,56 	 10 	 14 	 7 	  
