 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	
06:20 07.12.2019 	 2,21 	 2,34 	 7 	 11 	 99 	 995 	 -0,5 	 4,1 	  
06:10 07.12.2019 	 2,28 	 2,37 	 7 	 11 	 91 	 995 	 -0,6 	 4,1 	  
06:00 07.12.2019 	 2,35 	 2,52 	 8 	 11 	 82 	 995 	 -1 	 4,2 	  
05:50 07.12.2019 	 2,42 	 2,55 	 7 	 11 	 85 	 995 	 -1,2 	 4,1 	  
05:40 07.12.2019 	 2,48 	 2,64 	 7 	 10 	 89 	 995 	 -1,2 	 4,2 	  
05:30 07.12.2019 	 2,55 	 2,67 	 8 	 13 	 95 	 996 	 -1,7 	 4,2 	  
05:20 07.12.2019 	 2,61 	 2,74 	 8 	 13 	 93 	 995 	 -1,5 	 4,2 	  
05:10 07.12.2019 	 2,67 	 2,8 	 8 	 12 	 95 	 996 	 -1,8 	 4,2 	  
05:00 07.12.2019 	 2,73 	 2,87 	 7 	 11 	 95 	 996 	 -1,5 	 4,2 	  
04:50 07.12.2019 	 2,78 	 3,03 	 8 	 12 	 95 	 996 	 -1,4 	 4,2 	  
04:40 07.12.2019 	 2,83 	 3,03 	 8 	 13 	 94 	 996 	 -1,5 	 4,2 	  
04:30 07.12.2019 	 2,87 	 3,16 	 6 	 13 	 93 	 996 	 -1,5 	 4,2 	  
04:20 07.12.2019 	 2,92 	 3,08 	 6 	 11 	 95 	 996 	 -1,4 	 4,2 	  
