 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (°C)	
03:00 07.12.2019 	 3,06 	 3,37 	 11 	 13 	 72 	 -1,9 	  
02:50 07.12.2019 	 3,06 	 3,35 	 11 	 13 	 70 	 -1,9 	  
02:40 07.12.2019 	 3,04 	 3,31 	 10 	 13 	 71 	 -1,9 	  
02:30 07.12.2019 	 3,03 	 3,29 	 8 	 10 	 72 	 -1,9 	  
02:20 07.12.2019 	 3 	 3,29 	 6 	 9 	 77 	 -1,9 	  
02:10 07.12.2019 	 2,97 	 3,28 	 7 	 9 	 76 	 -2,3 	  
02:00 07.12.2019 	 2,93 	 3,3 	 8 	 9 	 74 	 -2,1 	  
01:50 07.12.2019 	 2,89 	 3,26 	 7 	 9 	 77 	 -1,8 	  
01:40 07.12.2019 	 2,85 	 3,21 	 6 	 8 	 88 	 -2,1 	  
01:30 07.12.2019 	 2,79 	 3,14 	 6 	 9 	 84 	 -2,2 	  
01:20 07.12.2019 	 2,74 	 3,12 	 8 	 10 	 73 	 -2,1 	  
01:10 07.12.2019 	 2,68 	 3,06 	 9 	 11 	 73 	 -2,4 	  
01:00 07.12.2019 	 2,61 	 3 	 8 	 11 	 77 	 -2,4 	  
00:50 07.12.2019 	 2,55 	 2,94 	 8 	 10 	 79 	 -2,7 	  
00:40 07.12.2019 	 2,48 	 2,85 	 8 	 10 	 80 	 -3,2 	  
00:30 07.12.2019 	 2,41 	 2,78 	 7 	 9 	 85 	 -3,2 	  
00:20 07.12.2019 	 2,33 	 2,72 	 6 	 8 	 83 	 -3 	  
00:10 07.12.2019 	 2,26 	 2,63 	 7 	 8 	 80 	 -3,3 	  
00:00 07.12.2019 	 2,19 	 2,58 	 7 	 9 	 76 	 -2,9 	  
23:50 06.12.2019 	 2,11 	 2,51 	 5 	 6 	 82 	 -2,4 	  
23:40 06.12.2019 	 2,04 	 2,44 	 4 	 5 	 89 	 -2,2 	  
23:30 06.12.2019 	 1,97 	 2,35 	 4 	 5 	 100 	 -2,1 	  
23:20 06.12.2019 	 1,9 	 2,29 	 4 	 5 	 132 	 -2,2 	  
23:10 06.12.2019 	 1,83 	 2,21 	 4 	 5 	 136 	 -2,1 	  
23:00 06.12.2019 	 1,77 	 2,17 	 4 	 6 	 119 	 -1,8 	  
22:50 06.12.2019 	 1,7 	 2,09 	 3 	 4 	 141 	 -2 	  
22:40 06.12.2019 	 1,65 	 2,06 	 4 	 6 	 98 	 -1,9 	  
22:30 06.12.2019 	 1,59 	 1,98 	 5 	 6 	 103 	 -2,2 	  
22:20 06.12.2019 	 1,54 	 1,93 	 4 	 7 	 119 	 -1,6 	  
22:10 06.12.2019 	 1,5 	 1,91 	 5 	 7 	 113 	 -2,5 	  
22:00 06.12.2019 	 1,46 	 1,87 	 5 	 7 	 112 	 -2,2 	  
21:50 06.12.2019 	 1,42 	 1,82 	 5 	 6 	 107 	 -2,1 	  
21:40 06.12.2019 	 1,39 	 1,77 	 6 	 7 	 94 	 -2,5 	  
21:30 06.12.2019 	 1,37 	 1,76 	 5 	 7 	 91 	 -2 	  
21:20 06.12.2019 	 1,35 	 1,72 	 3 	 4 	 101 	 -2,8 	  
21:10 06.12.2019 	 1,34 	 1,66 	 2 	 4 	 132 	 -2,9 	  
21:00 06.12.2019 	 1,34 	 1,63 	 2 	 3 	 117 	 -3,5 	  
20:50 06.12.2019 	 1,34 	 1,59 	 2 	 3 	 117 	 -3,8 	  
20:40 06.12.2019 	 1,34 	 1,59 	 3 	 3 	 126 	 -3,7 	  
20:30 06.12.2019 	 1,35 	 1,66 	 2 	 3 	 131 	 -4,7 	  
20:20 06.12.2019 	 1,37 	 1,69 	 2 	 3 	 137 	 -4,9 	  
20:10 06.12.2019 	 1,4 	 1,74 	 3 	 4 	 135 	 -4,9 	  
20:00 06.12.2019 	 1,43 	 1,8 	 2 	 3 	 135 	 -4,1 	  
19:50 06.12.2019 	 1,46 	 1,82 	 2 	 3 	 140 	 -4,2 	  
19:40 06.12.2019 	 1,5 	 1,89 	 1 	 2 	 145 	 -4,8 	  
19:30 06.12.2019 	 1,55 	 1,9 	 2 	 2 	 142 	 -5 	  
19:20 06.12.2019 	 1,59 	 1,98 	 2 	 3 	 143 	 -5,2 	  
19:10 06.12.2019 	 1,65 	 2,04 	 3 	 4 	 135 	 -5,3 	  
19:00 06.12.2019 	 1,7 	 2,08 	 3 	 4 	 136 	 -4,6 	  
18:50 06.12.2019 	 1,76 	 2,1 	 3 	 4 	 133 	 -4,1 	  
18:40 06.12.2019 	 1,83 	 2,21 	 3 	 4 	 136 	 -4,3 	  
18:30 06.12.2019 	 1,89 	 2,22 	 3 	 4 	 138 	 -4 	  
18:20 06.12.2019 	 1,96 	 2,28 	 3 	 4 	 140 	 -4,4 	  
18:10 06.12.2019 	 2,03 	 2,32 	 3 	 4 	 140 	 -4,2 	  
18:00 06.12.2019 	 2,1 	 2,39 	 3 	 4 	 135 	 -4,1 	  
17:50 06.12.2019 	 2,17 	 2,46 	 3 	 3 	 135 	 -4,1 	  
17:40 06.12.2019 	 2,24 	 2,52 	 2 	 4 	 139 	 -3,8 	  
17:30 06.12.2019 	 2,3 	 2,61 	 3 	 4 	 143 	 -4 	  
17:20 06.12.2019 	 2,37 	 2,67 	 3 	 4 	 139 	 -3,5 	  
17:10 06.12.2019 	 2,44 	 2,75 	 3 	 4 	 135 	 -3,6 	  
17:00 06.12.2019 	 2,51 	 2,76 	 3 	 4 	 132 	 -3,7 	  
16:50 06.12.2019 	 2,57 	 2,85 	 3 	 4 	 133 	 -3,6 	  
16:40 06.12.2019 	 2,63 	 2,94 	 4 	 4 	 134 	 -3,4 	  
16:30 06.12.2019 	 2,69 	 3,03 	 3 	 4 	 138 	 -3 	  
16:20 06.12.2019 	 2,74 	 3,15 	 3 	 4 	 135 	 -3 	  
16:10 06.12.2019 	 2,79 	 3,2 	 3 	 4 	 139 	 -3,3 	  
16:00 06.12.2019 	 2,84 	 3,24 	 2 	 4 	 142 	 -2,6 	  
15:50 06.12.2019 	 2,88 	 3,3 	 3 	 4 	 142 	 -2,9 	  
15:40 06.12.2019 	 2,92 	 3,31 	 3 	 4 	 143 	 -2,6 	  
15:30 06.12.2019 	 2,95 	 3,32 	 3 	 4 	 138 	 -2,6 	  
15:20 06.12.2019 	 2,98 	 3,34 	 2 	 3 	 147 	 -2,1 	  
15:10 06.12.2019 	 3 	 3,36 	 2 	 4 	 165 	 -2,4 	  
15:00 06.12.2019 	 3,02 	 3,39 	 2 	 4 	 167 	 -2,1 	  
14:50 06.12.2019 	 3,03 	 3,41 	 3 	 4 	 173 	 -1,7 	  
14:40 06.12.2019 	 3,04 	 3,42 	 3 	 4 	 183 	 -2 	  
14:30 06.12.2019 	 3,04 	 3,43 	 2 	 3 	 184 	 -2,1 	  
14:20 06.12.2019 	 3,04 	 3,41 	 2 	 3 	 208 	 -1,9 	  
14:10 06.12.2019 	 3,03 	 3,41 	 2 	 3 	 217 	 -1,8 	  
14:00 06.12.2019 	 3,02 	 3,41 	 2 	 2 	 209 	 -1,4 	  
13:50 06.12.2019 	 3 	 3,41 	 2 	 3 	 178 	 -1,1 	  
13:40 06.12.2019 	 2,97 	 3,36 	 2 	 3 	 159 	 -0,7 	  
13:30 06.12.2019 	 2,94 	 3,33 	 3 	 4 	 165 	 -1,2 	  
13:20 06.12.2019 	 2,91 	 3,27 	 3 	 4 	 158 	 -1,7 	  
13:10 06.12.2019 	 2,87 	 3,25 	 2 	 3 	 176 	 -1,4 	  
13:00 06.12.2019 	 2,82 	 3,21 	 3 	 4 	 186 	 -0,5 	  
12:50 06.12.2019 	 2,78 	 3,18 	 3 	 4 	 204 	 -0,8 	  
12:40 06.12.2019 	 2,73 	 3,14 	 3 	 4 	 205 	 -0,7 	  
12:30 06.12.2019 	 2,67 	 3,11 	 2 	 2 	 190 	 -1,4 	  
12:20 06.12.2019 	 2,62 	 3,06 	 2 	 2 	 134 	 -1,8 	  
12:10 06.12.2019 	 2,56 	 3,01 	 2 	 3 	 136 	 -1,8 	  
12:00 06.12.2019 	 2,5 	 2,91 	 2 	 3 	 184 	 -1,8 	  
11:50 06.12.2019 	 2,44 	 2,85 	 2 	 3 	 135 	 -1,8 	  
11:40 06.12.2019 	 2,38 	 2,76 	 1 	 1 	 120 	 -1,7 	  
11:30 06.12.2019 	 2,31 	 2,71 	 1 	 2 	 156 	 -1,2 	  
11:20 06.12.2019 	 2,25 	 2,65 	 2 	 3 	 157 	 -1,7 	  
11:10 06.12.2019 	 2,19 	 2,58 	 1 	 3 	 158 	 -1,7 	  
11:00 06.12.2019 	 2,13 	 2,53 	 2 	 3 	 176 	 -1,2 	  
10:50 06.12.2019 	 2,07 	 2,46 	 2 	 3 	 169 	 -1,2 	  
10:40 06.12.2019 	 2,01 	 2,4 	 2 	 5 	 123 	 -1 	  
10:30 06.12.2019 	 1,96 	 2,36 	 1 	 2 	 135 	 -1,4 	  
10:20 06.12.2019 	 1,91 	 2,3 	 2 	 3 	 128 	 -1,1 	  
10:10 06.12.2019 	 1,86 	 2,23 	 2 	 3 	 130 	 -1,4 	  
10:00 06.12.2019 	 1,81 	 2,2 	 3 	 6 	 93 	 -1,8 	  
09:50 06.12.2019 	 1,77 	 2,18 	 4 	 8 	 39 	 0,8 	  
09:40 06.12.2019 	 1,73 	 2,13 	 4 	 8 	 41 	 1,1 	  
09:30 06.12.2019 	 1,7 	 2,08 	 3 	 6 	 88 	 -0,8 	  
09:20 06.12.2019 	 1,67 	 2,02 	 4 	 10 	 92 	 -2 	  
09:10 06.12.2019 	 1,64 	 1,96 	 6 	 9 	 11 	 1,1 	  
09:00 06.12.2019 	 1,62 	 1,96 	 7 	 11 	 1 	 1,2 	  
08:50 06.12.2019 	 1,6 	 1,96 	 8 	 11 	 355 	 1,2 	  
08:40 06.12.2019 	 1,59 	 1,95 	 7 	 10 	 359 	 1,3 	  
08:30 06.12.2019 	 1,58 	 1,93 	 8 	 10 	 3 	 1 	  
08:20 06.12.2019 	 1,58 	 1,91 	 7 	 9 	 2 	 1,1 	  
08:10 06.12.2019 	 1,58 	 1,9 	 7 	 10 	 6 	 1 	  
08:00 06.12.2019 	 1,59 	 1,9 	 7 	 9 	 359 	 1,3 	  
07:50 06.12.2019 	 1,6 	 1,89 	 8 	 11 	 6 	 1 	  
07:40 06.12.2019 	 1,62 	 1,91 	 4 	 9 	 35 	 0,9 	  
07:30 06.12.2019 	 1,64 	 1,95 	 6 	 10 	 3 	 1,2 	  
07:20 06.12.2019 	 1,66 	 1,98 	 7 	 11 	 3 	 0,9 	  
07:10 06.12.2019 	 1,69 	 2,02 	 8 	 10 	 1 	 1,1 	  
07:00 06.12.2019 	 1,72 	 2,06 	 7 	 10 	 3 	 1,3 	  
06:50 06.12.2019 	 1,76 	 2,13 	 8 	 11 	 1 	 1,2 	  
06:40 06.12.2019 	 1,8 	 2,18 	 8 	 11 	 5 	 1,1 	  
06:30 06.12.2019 	 1,84 	 2,23 	 9 	 13 	 13 	 0,9 	  
06:20 06.12.2019 	 1,88 	 2,26 	 8 	 11 	 21 	 0,9 	  
06:10 06.12.2019 	 1,93 	 2,31 	 8 	 11 	 22 	 0,8 	  
06:00 06.12.2019 	 1,98 	 2,37 	 8 	 11 	 6 	 0,7 	  
05:50 06.12.2019 	 2,03 	 2,4 	 8 	 11 	 2 	 0,8 	  
05:40 06.12.2019 	 2,09 	 2,46 	 8 	 11 	 354 	 1 	  
05:30 06.12.2019 	 2,14 	 2,53 	 6 	 9 	 359 	 0,9 	  
05:20 06.12.2019 	 2,19 	 2,6 	 7 	 9 	 356 	 0,9 	  
05:10 06.12.2019 	 2,25 	 2,65 	 8 	 11 	 340 	 1 	  
05:00 06.12.2019 	 2,3 	 2,67 	 9 	 11 	 334 	 1,1 	  
04:50 06.12.2019 	 2,36 	 2,73 	 3 	 8 	 282 	 0,4 	  
04:40 06.12.2019 	 2,41 	 2,78 	 1 	 3 	 210 	 -1 	  
04:30 06.12.2019 	 2,46 	 2,82 	 2 	 3 	 205 	 -1,1 	  
04:20 06.12.2019 	 2,52 	 2,89 	 2 	 3 	 153 	 -0,8 	  
04:10 06.12.2019 	 2,56 	 2,93 	 3 	 4 	 125 	 -0,9 	  
04:00 06.12.2019 	 2,61 	 3 	 3 	 4 	 130 	 -1,3 	  
03:50 06.12.2019 	 2,66 	 3,04 	 3 	 4 	 130 	 -1,2 	  
03:40 06.12.2019 	 2,7 	 3,05 	 2 	 4 	 68 	 -0,3 	  
03:30 06.12.2019 	 2,74 	 3,1 	 3 	 8 	 26 	 1 	  
03:20 06.12.2019 	 2,77 	 3,16 	 2 	 6 	 357 	 0,5 	  
03:10 06.12.2019 	 2,8 	 3,2 	 2 	 2 	 170 	 -0 	  
03:00 06.12.2019 	 2,83 	 3,25 	 1 	 2 	 211 	 -1 	  
02:50 06.12.2019 	 2,85 	 3,28 	 1 	 2 	 139 	 -0,6 	  
02:40 06.12.2019 	 2,87 	 3,29 	 1 	 3 	 187 	 -0,8 	  
02:30 06.12.2019 	 2,88 	 3,27 	 3 	 4 	 195 	 -1,2 	  
02:20 06.12.2019 	 2,89 	 3,28 	 2 	 4 	 209 	 -1,4 	  
02:10 06.12.2019 	 2,89 	 3,27 	 2 	 3 	 148 	 -1,4 	  
02:00 06.12.2019 	 2,89 	 3,28 	 2 	 3 	 177 	 -1,4 	  
01:50 06.12.2019 	 2,88 	 3,27 	 2 	 3 	 185 	 -1,6 	  
01:40 06.12.2019 	 2,87 	 3,26 	 3 	 4 	 209 	 -1,2 	  
01:30 06.12.2019 	 2,86 	 3,26 	 2 	 4 	 197 	 -1,3 	  
01:20 06.12.2019 	 2,84 	 3,26 	 3 	 4 	 199 	 -1,4 	  
01:10 06.12.2019 	 2,81 	 3,22 	 2 	 3 	 203 	 -1,8 	  
01:00 06.12.2019 	 2,78 	 3,2 	 2 	 3 	 192 	 -1,8 	  
00:50 06.12.2019 	 2,74 	 3,15 	 1 	 3 	 187 	 -1,6 	  
00:40 06.12.2019 	 2,71 	 3,14 	 1 	 3 	 170 	 -1,4 	  
00:30 06.12.2019 	 2,66 	 3,09 	 2 	 3 	 161 	 -1,5 	  
00:20 06.12.2019 	 2,62 	 3,03 	 2 	 3 	 161 	 -2,3 	  
00:10 06.12.2019 	 2,57 	 2,98 	 2 	 4 	 166 	 -1,7 	  
00:00 06.12.2019 	 2,52 	 2,92 	 1 	 2 	 144 	 -2,1 	  
23:50 05.12.2019 	 2,46 	 2,86 	 2 	 4 	 153 	 -2,5 	  
23:40 05.12.2019 	 2,4 	 2,81 	 0 	 1 	 91 	 -2,4 	  
23:30 05.12.2019 	 2,35 	 2,75 	 1 	 2 	 152 	 -2,5 	  
23:20 05.12.2019 	 2,29 	 2,72 	 1 	 2 	 154 	 -2,7 	  
23:10 05.12.2019 	 2,23 	 2,68 	 0 	 1 	 187 	 -2,9 	  
23:00 05.12.2019 	 2,17 	 2,6 	 0 	 1 	 140 	 -2,8 	  
22:50 05.12.2019 	 2,1 	 2,54 	 1 	 2 	 160 	 -3,3 	  
22:40 05.12.2019 	 2,04 	 2,48 	 1 	 1 	 172 	 -3,6 	  
22:30 05.12.2019 	 1,99 	 2,48 	 2 	 2 	 116 	 -3,5 	  
22:20 05.12.2019 	 1,93 	 2,39 	 1 	 3 	 146 	 -3,6 	  
22:10 05.12.2019 	 1,87 	 2,35 	 3 	 4 	 140 	 -4,2 	  
22:00 05.12.2019 	 1,82 	 2,29 	 3 	 3 	 119 	 -4,6 	  
21:50 05.12.2019 	 1,77 	 2,22 	 3 	 4 	 137 	 -4,6 	  
21:40 05.12.2019 	 1,72 	 2,18 	 3 	 5 	 138 	 -4,6 	  
21:30 05.12.2019 	 1,68 	 2,16 	 2 	 3 	 132 	 -3,6 	  
21:20 05.12.2019 	 1,63 	 2,1 	 1 	 2 	 150 	 -3,5 	  
21:10 05.12.2019 	 1,6 	 2,04 	 1 	 2 	 143 	 -4 	  
21:00 05.12.2019 	 1,56 	 2 	 2 	 3 	 152 	 -4,5 	  
20:50 05.12.2019 	 1,54 	 1,97 	 1 	 3 	 134 	 -4,4 	  
20:40 05.12.2019 	 1,51 	 1,95 	 2 	 4 	 157 	 -4,5 	  
20:30 05.12.2019 	 1,49 	 1,93 	 2 	 4 	 132 	 -4,8 	  
20:20 05.12.2019 	 1,48 	 1,9 	 3 	 4 	 126 	 -5,1 	  
20:10 05.12.2019 	 1,47 	 1,88 	 2 	 3 	 133 	 -4,8 	  
20:00 05.12.2019 	 1,46 	 1,84 	 2 	 4 	 138 	 -4,7 	  
19:50 05.12.2019 	 1,46 	 1,87 	 2 	 3 	 134 	 -5 	  
19:40 05.12.2019 	 1,47 	 1,88 	 2 	 3 	 138 	 -5,2 	  
19:30 05.12.2019 	 1,48 	 1,87 	 3 	 3 	 136 	 -4,9 	  
19:20 05.12.2019 	 1,49 	 1,89 	 3 	 3 	 138 	 -4,6 	  
19:10 05.12.2019 	 1,51 	 1,91 	 3 	 4 	 133 	 -4,4 	  
19:00 05.12.2019 	 1,53 	 1,95 	 3 	 4 	 133 	 -4,4 	  
18:50 05.12.2019 	 1,56 	 1,97 	 3 	 4 	 134 	 -4,7 	  
18:40 05.12.2019 	 1,59 	 1,99 	 2 	 4 	 126 	 -4,4 	  
18:30 05.12.2019 	 1,63 	 2,02 	 1 	 3 	 136 	 -4,3 	  
18:20 05.12.2019 	 1,67 	 2,05 	 3 	 4 	 131 	 -4,5 	  
18:10 05.12.2019 	 1,71 	 2,11 	 3 	 4 	 100 	 -4,3 	  
18:00 05.12.2019 	 1,76 	 2,18 	 3 	 4 	 119 	 -4,5 	  
17:50 05.12.2019 	 1,81 	 2,24 	 2 	 3 	 132 	 -4,3 	  
17:40 05.12.2019 	 1,87 	 2,28 	 2 	 3 	 117 	 -4 	  
17:30 05.12.2019 	 1,92 	 2,33 	 2 	 2 	 115 	 -4 	  
17:20 05.12.2019 	 1,98 	 2,38 	 1 	 2 	 115 	 -3,8 	  
17:10 05.12.2019 	 2,04 	 2,47 	 1 	 2 	 139 	 -4,3 	  
17:00 05.12.2019 	 2,1 	 2,55 	 2 	 3 	 134 	 -4,5 	  
16:50 05.12.2019 	 2,16 	 2,63 	 2 	 3 	 134 	 -4,5 	  
16:40 05.12.2019 	 2,22 	 2,66 	 2 	 3 	 111 	 -4,3 	  
16:30 05.12.2019 	 2,29 	 2,7 	 1 	 2 	 129 	 -4,3 	  
16:20 05.12.2019 	 2,35 	 2,77 	 2 	 3 	 134 	 -4,8 	  
16:10 05.12.2019 	 2,41 	 2,81 	 2 	 3 	 122 	 -4,8 	  
16:00 05.12.2019 	 2,47 	 2,9 	 2 	 4 	 129 	 -4,5 	  
15:50 05.12.2019 	 2,53 	 2,96 	 3 	 4 	 121 	 -4,8 	  
15:40 05.12.2019 	 2,58 	 2,98 	 2 	 3 	 132 	 -3,9 	  
15:30 05.12.2019 	 2,64 	 3,04 	 2 	 3 	 131 	 -4,2 	  
15:20 05.12.2019 	 2,69 	 3,11 	 3 	 4 	 140 	 -4,3 	  
15:10 05.12.2019 	 2,74 	 3,15 	 4 	 4 	 137 	 -4,4 	  
15:00 05.12.2019 	 2,78 	 3,21 	 3 	 4 	 135 	 -4,3 	  
14:50 05.12.2019 	 2,82 	 3,26 	 3 	 4 	 121 	 -3,8 	  
14:40 05.12.2019 	 2,86 	 3,31 	 3 	 3 	 98 	 -3,8 	  
14:30 05.12.2019 	 2,89 	 3,37 	 3 	 3 	 125 	 -3,7 	  
14:20 05.12.2019 	 2,92 	 3,39 	 3 	 4 	 131 	 -4 	  
14:10 05.12.2019 	 2,94 	 3,41 	 2 	 4 	 118 	 -4 	  
14:00 05.12.2019 	 2,96 	 3,43 	 2 	 3 	 122 	 -3,8 	  
13:50 05.12.2019 	 2,98 	 3,46 	 1 	 2 	 150 	 -3 	  
13:40 05.12.2019 	 2,99 	 3,48 	 3 	 4 	 144 	 -3,7 	  
13:30 05.12.2019 	 2,99 	 3,51 	 3 	 4 	 138 	 -3,8 	  
13:20 05.12.2019 	 2,99 	 3,51 	 3 	 3 	 138 	 -3,6 	  
13:10 05.12.2019 	 2,99 	 3,52 	 2 	 3 	 125 	 -3,8 	  
13:00 05.12.2019 	 2,98 	 3,5 	 3 	 4 	 130 	 -3,7 	  
12:50 05.12.2019 	 2,96 	 3,43 	 3 	 4 	 136 	 -3,8 	  
12:40 05.12.2019 	 2,95 	 3,4 	 3 	 3 	 125 	 -3,7 	  
12:30 05.12.2019 	 2,92 	 3,37 	 2 	 3 	 124 	 -3,8 	  
12:20 05.12.2019 	 2,9 	 3,32 	 2 	 3 	 135 	 -3,2 	  
12:10 05.12.2019 	 2,86 	 3,3 	 3 	 4 	 135 	 -3,8 	  
12:00 05.12.2019 	 2,83 	 3,27 	 2 	 3 	 133 	 -3,3 	  
11:50 05.12.2019 	 2,79 	 3,21 	 2 	 2 	 123 	 -2,8 	  
11:40 05.12.2019 	 2,75 	 3,17 	 2 	 3 	 122 	 -2,7 	  
11:30 05.12.2019 	 2,71 	 3,12 	 3 	 3 	 127 	 -3,3 	  
11:20 05.12.2019 	 2,66 	 3,07 	 3 	 3 	 131 	 -3,2 	  
11:10 05.12.2019 	 2,61 	 3,04 	 2 	 3 	 135 	 -3,2 	  
11:00 05.12.2019 	 2,56 	 2,98 	 2 	 3 	 122 	 -2,6 	  
10:50 05.12.2019 	 2,51 	 2,94 	 2 	 3 	 128 	 -2,8 	  
10:40 05.12.2019 	 2,45 	 2,89 	 2 	 3 	 131 	 -2,6 	  
10:30 05.12.2019 	 2,4 	 2,83 	 2 	 3 	 111 	 -2,1 	  
10:20 05.12.2019 	 2,34 	 2,79 	 1 	 2 	 136 	 -1,7 	  
10:10 05.12.2019 	 2,29 	 2,74 	 2 	 3 	 124 	 -1,9 	  
10:00 05.12.2019 	 2,23 	 2,68 	 1 	 1 	 43 	 0,1 	  
09:50 05.12.2019 	 2,18 	 2,65 	 1 	 2 	 93 	 -0,2 	  
09:40 05.12.2019 	 2,13 	 2,59 	 2 	 3 	 16 	 -0,4 	  
09:30 05.12.2019 	 2,08 	 2,55 	 3 	 4 	 341 	 1 	  
09:20 05.12.2019 	 2,03 	 2,49 	 4 	 5 	 339 	 1,1 	  
09:10 05.12.2019 	 1,98 	 2,42 	 4 	 5 	 345 	 1,2 	  
09:00 05.12.2019 	 1,94 	 2,35 	 2 	 4 	 357 	 1 	  
08:50 05.12.2019 	 1,89 	 2,3 	 3 	 4 	 350 	 1,1 	  
08:40 05.12.2019 	 1,85 	 2,23 	 3 	 4 	 331 	 0,9 	  
08:30 05.12.2019 	 1,82 	 2,18 	 3 	 4 	 330 	 0,9 	  
08:20 05.12.2019 	 1,78 	 2,16 	 3 	 4 	 339 	 0,9 	  
08:10 05.12.2019 	 1,75 	 2,13 	 4 	 6 	 341 	 1 	  
08:00 05.12.2019 	 1,73 	 2,07 	 4 	 5 	 337 	 1,1 	  
07:50 05.12.2019 	 1,7 	 2,08 	 4 	 5 	 338 	 1,1 	  
07:40 05.12.2019 	 1,68 	 2,07 	 4 	 5 	 332 	 1,1 	  
07:30 05.12.2019 	 1,67 	 2,06 	 4 	 5 	 328 	 1,1 	  
07:20 05.12.2019 	 1,66 	 2,04 	 4 	 5 	 320 	 1,1 	  
07:10 05.12.2019 	 1,65 	 2,05 	 4 	 5 	 323 	 1,1 	  
07:00 05.12.2019 	 1,65 	 2,03 	 4 	 5 	 335 	 1,3 	  
06:50 05.12.2019 	 1,65 	 2,02 	 3 	 4 	 353 	 1,1 	  
06:40 05.12.2019 	 1,65 	 2,02 	 2 	 3 	 358 	 1 	  
06:30 05.12.2019 	 1,66 	 2,04 	 2 	 3 	 7 	 0,8 	  
06:20 05.12.2019 	 1,67 	 2,04 	 2 	 3 	 351 	 1,1 	  
06:10 05.12.2019 	 1,69 	 2,06 	 2 	 3 	 354 	 1,1 	  
06:00 05.12.2019 	 1,71 	 2,07 	 3 	 4 	 356 	 1,2 	  
05:50 05.12.2019 	 1,73 	 2,09 	 2 	 3 	 350 	 1,1 	  
05:40 05.12.2019 	 1,76 	 2,13 	 3 	 5 	 343 	 1,1 	  
05:30 05.12.2019 	 1,79 	 2,17 	 4 	 6 	 320 	 1,2 	  
05:20 05.12.2019 	 1,83 	 2,19 	 5 	 6 	 315 	 1,3 	  
05:10 05.12.2019 	 1,86 	 2,22 	 4 	 6 	 299 	 1,4 	  
05:00 05.12.2019 	 1,9 	 2,27 	 5 	 6 	 303 	 1,4 	  
04:50 05.12.2019 	 1,95 	 2,34 	 5 	 6 	 301 	 1,4 	  
04:40 05.12.2019 	 1,99 	 2,41 	 6 	 7 	 310 	 1,4 	  
04:30 05.12.2019 	 2,04 	 2,46 	 6 	 8 	 318 	 1,3 	  
04:20 05.12.2019 	 2,09 	 2,52 	 7 	 9 	 305 	 1,4 	  
04:10 05.12.2019 	 2,14 	 2,54 	 7 	 9 	 299 	 1,5 	  
04:00 05.12.2019 	 2,19 	 2,63 	 8 	 10 	 300 	 1,4 	  
03:50 05.12.2019 	 2,24 	 2,67 	 9 	 11 	 308 	 1,3 	  
03:40 05.12.2019 	 2,29 	 2,77 	 10 	 12 	 320 	 1,4 	  
03:30 05.12.2019 	 2,34 	 2,81 	 10 	 12 	 305 	 1,9 	  
03:20 05.12.2019 	 2,39 	 2,83 	 9 	 11 	 307 	 2 	  
03:10 05.12.2019 	 2,44 	 2,87 	 9 	 10 	 310 	 2,4 	  
03:00 05.12.2019 	 2,48 	 2,94 	 9 	 11 	 291 	 2,6 	  
02:50 05.12.2019 	 2,53 	 2,93 	 8 	 11 	 268 	 2,5 	  
02:40 05.12.2019 	 2,57 	 2,98 	 9 	 12 	 270 	 2,1 	  
02:30 05.12.2019 	 2,61 	 3 	 11 	 14 	 274 	 2,2 	  
02:20 05.12.2019 	 2,65 	 3,04 	 10 	 13 	 292 	 2,7 	  
02:10 05.12.2019 	 2,68 	 3,09 	 10 	 17 	 279 	 2,6 	  
02:00 05.12.2019 	 2,71 	 3,13 	 11 	 15 	 273 	 2,2 	  
01:50 05.12.2019 	 2,74 	 3,23 	 10 	 13 	 290 	 2,9 	  
01:40 05.12.2019 	 2,76 	 3,26 	 10 	 14 	 295 	 2,9 	  
01:30 05.12.2019 	 2,78 	 3,28 	 10 	 12 	 294 	 2,2 	  
01:20 05.12.2019 	 2,79 	 3,29 	 9 	 13 	 274 	 2,7 	  
01:10 05.12.2019 	 2,8 	 3,32 	 13 	 16 	 273 	 2,2 	  
01:00 05.12.2019 	 2,81 	 3,38 	 14 	 17 	 272 	 2,9 	  
00:50 05.12.2019 	 2,81 	 3,43 	 13 	 16 	 274 	 2,4 	  
00:40 05.12.2019 	 2,81 	 3,45 	 14 	 18 	 284 	 2,1 	  
00:30 05.12.2019 	 2,8 	 3,43 	 13 	 17 	 279 	 2 	  
00:20 05.12.2019 	 2,79 	 3,4 	 13 	 17 	 269 	 1,7 	  
00:10 05.12.2019 	 2,77 	 3,33 	 11 	 14 	 262 	 2,6 	  
00:00 05.12.2019 	 2,75 	 3,31 	 11 	 15 	 253 	 2 	  
23:50 04.12.2019 	 2,72 	 3,27 	 13 	 18 	 267 	 2,3 	  
23:40 04.12.2019 	 2,69 	 3,23 	 12 	 15 	 265 	 2,4 	  
23:30 04.12.2019 	 2,66 	 3,21 	 13 	 16 	 261 	 2,2 	  
23:20 04.12.2019 	 2,62 	 3,12 	 11 	 16 	 259 	 2,6 	  
23:10 04.12.2019 	 2,58 	 3,06 	 9 	 12 	 277 	 2,5 	  
23:00 04.12.2019 	 2,54 	 3,02 	 5 	 9 	 66 	 0,8 	  
