 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
02:50 08.12.2019 	 3,24 	 3,65 	 12 	 20 	 58 	 983 	 -1,1 	 4,1 	 29,96 	  
02:40 08.12.2019 	 3,19 	 3,55 	 14 	 24 	 46 	 983 	 -1,7 	 3,9 	 28,62 	  
02:30 08.12.2019 	 3,13 	 3,47 	 14 	 22 	 53 	 983 	 -1,5 	 4 	 28,33 	  
02:20 08.12.2019 	 3,07 	 3,41 	 16 	 25 	 51 	 983 	 -1,4 	 4 	 28,42 	  
02:10 08.12.2019 	 3,01 	 3,33 	 13 	 19 	 46 	 983 	 -1,3 	 3,9 	 27,88 	  
02:00 08.12.2019 	 2,94 	 3,27 	 12 	 16 	 46 	 983 	 -1,1 	 3,8 	 28,26 	  
01:50 08.12.2019 	 2,86 	 3,23 	 14 	 20 	 44 	 983 	 -1,6 	 3,9 	 27,99 	  
01:40 08.12.2019 	 2,78 	 3,19 	 15 	 20 	 49 	 983 	 -1,7 	 3,7 	 28,07 	  
01:30 08.12.2019 	 2,7 	 3,13 	 17 	 23 	 48 	 983 	 -1,9 	 3,8 	 27,85 	  
01:20 08.12.2019 	 2,61 	 3,1 	 14 	 21 	 44 	 983 	 -2 	 4,1 	 28,04 	  
01:10 08.12.2019 	 2,52 	 3,05 	 16 	 22 	 46 	 983 	 -2,3 	 4,3 	 28,03 	  
01:00 08.12.2019 	 2,43 	 2,97 	 17 	 22 	 43 	 982 	 -2,2 	 4,3 	 28,08 	  
00:50 08.12.2019 	 2,34 	 2,9 	 18 	 24 	 39 	 982 	 -2,3 	 4,3 	 28,18 	  
00:40 08.12.2019 	 2,25 	 2,82 	 15 	 22 	 37 	 982 	 -2,4 	 4,3 	 28,78 	  
00:30 08.12.2019 	 2,16 	 2,72 	 15 	 22 	 36 	 982 	 -2,4 	 4,2 	 28,28 	  
00:20 08.12.2019 	 2,07 	 2,61 	 16 	 23 	 37 	 982 	 -2,3 	 4,2 	 28,23 	  
00:10 08.12.2019 	 1,99 	 2,5 	 15 	 20 	 37 	 982 	 -2,7 	 4,1 	 27,93 	  
00:00 08.12.2019 	 1,9 	 2,38 	 16 	 23 	 41 	 982 	 -2,6 	 4,1 	 28,14 	  
23:50 07.12.2019 	 1,82 	 2,27 	 15 	 21 	 44 	 983 	 -2,5 	 4,1 	 28,03 	  
23:40 07.12.2019 	 1,74 	 2,17 	 15 	 20 	 42 	 983 	 -2,3 	 4 	 28,06 	  
23:30 07.12.2019 	 1,67 	 2,07 	 14 	 21 	 43 	 983 	 -2,4 	 4 	 28,1 	  
23:20 07.12.2019 	 1,6 	 1,99 	 14 	 21 	 42 	 983 	 -2,7 	 4 	 27,9 	  
23:10 07.12.2019 	 1,54 	 1,9 	 14 	 22 	 43 	 983 	 -2,7 	 4,1 	 27,91 	  
23:00 07.12.2019 	 1,49 	 1,82 	 15 	 23 	 40 	 983 	 -2,5 	 4 	 27,9 	  
22:50 07.12.2019 	 1,43 	 1,74 	 15 	 23 	 41 	 983 	 -2,4 	 3,9 	 27,84 	  
22:40 07.12.2019 	 1,39 	 1,7 	 14 	 23 	 43 	 983 	 -2,5 	 4 	 27,89 	  
22:30 07.12.2019 	 1,35 	 1,65 	 14 	 21 	 45 	 983 	 -2,6 	 4,1 	 27,78 	  
22:20 07.12.2019 	 1,32 	 1,61 	 15 	 22 	 46 	 983 	 -2,6 	 4 	 27,86 	  
22:10 07.12.2019 	 1,3 	 1,59 	 14 	 23 	 40 	 983 	 -2,8 	 4 	 27,84 	  
22:00 07.12.2019 	 1,28 	 1,59 	 15 	 24 	 39 	 983 	 -2,9 	 3,9 	 27,83 	  
21:50 07.12.2019 	 1,27 	 1,61 	 15 	 21 	 36 	 983 	 -2,9 	 4 	 27,86 	  
21:40 07.12.2019 	 1,27 	 1,63 	 15 	 21 	 38 	 983 	 -2,9 	 4 	 27,84 	  
21:30 07.12.2019 	 1,28 	 1,67 	 16 	 23 	 41 	 983 	 -2,9 	 4 	 27,85 	  
21:20 07.12.2019 	 1,29 	 1,7 	 16 	 22 	 37 	 983 	 -2,9 	 3,9 	 29,42 	  
21:10 07.12.2019 	 1,31 	 1,74 	 16 	 21 	 45 	 983 	 -2,9 	 3,9 	 28,76 	  
21:00 07.12.2019 	 1,34 	 1,81 	 15 	 21 	 45 	 983 	 -2,5 	 3,8 	 28,03 	  
20:50 07.12.2019 	 1,37 	 1,85 	 15 	 20 	 44 	 983 	 -2,7 	 3,9 	 27,93 	  
20:40 07.12.2019 	 1,41 	 1,92 	 14 	 20 	 44 	 983 	 -2,7 	 3,9 	 27,64 	  
20:30 07.12.2019 	 1,46 	 1,96 	 15 	 20 	 47 	 983 	 -2,6 	 4 	 27,75 	  
20:20 07.12.2019 	 1,51 	 2,02 	 14 	 19 	 44 	 984 	 -2,6 	 4,1 	 27,79 	  
20:10 07.12.2019 	 1,57 	 2,08 	 14 	 20 	 39 	 983 	 -2,5 	 4,1 	 27,77 	  
20:00 07.12.2019 	 1,64 	 2,14 	 14 	 19 	 43 	 983 	 -2,8 	 4,2 	 27,76 	  
19:50 07.12.2019 	 1,7 	 2,22 	 15 	 22 	 41 	 983 	 -2,5 	 4,3 	 27,84 	  
19:40 07.12.2019 	 1,78 	 2,26 	 15 	 21 	 41 	 983 	 -2,3 	 4,3 	 27,79 	  
19:30 07.12.2019 	 1,85 	 2,33 	 15 	 23 	 41 	 983 	 -2,5 	 4,3 	 27,81 	  
19:20 07.12.2019 	 1,93 	 2,39 	 15 	 20 	 39 	 983 	 -2,5 	 4,3 	 27,81 	  
19:10 07.12.2019 	 2,01 	 2,44 	 14 	 20 	 36 	 983 	 -2,7 	 4,2 	 27,95 	  
19:00 07.12.2019 	 2,09 	 2,5 	 15 	 21 	 40 	 983 	 -2,4 	 4,3 	 27,9 	  
18:50 07.12.2019 	 2,17 	 2,57 	 15 	 20 	 46 	 984 	 -2,5 	 4,3 	 27,88 	  
18:40 07.12.2019 	 2,26 	 2,61 	 14 	 20 	 44 	 984 	 -2,5 	 4,3 	 27,95 	  
18:30 07.12.2019 	 2,34 	 2,67 	 14 	 20 	 45 	 984 	 -2,5 	 4,3 	 27,94 	  
18:20 07.12.2019 	 2,42 	 2,74 	 15 	 22 	 44 	 984 	 -2,4 	 4,2 	 27,9 	  
18:10 07.12.2019 	 2,5 	 2,83 	 14 	 22 	 40 	 984 	 -2,6 	 4,2 	 27,92 	  
18:00 07.12.2019 	 2,58 	 2,92 	 15 	 23 	 44 	 984 	 -2,3 	 4,2 	 27,92 	  
17:50 07.12.2019 	 2,66 	 3,03 	 13 	 20 	 43 	 984 	 -2,4 	 4,1 	 27,86 	  
17:40 07.12.2019 	 2,73 	 3,12 	 14 	 20 	 44 	 984 	 -2,2 	 4,1 	 27,84 	  
17:30 07.12.2019 	 2,8 	 3,21 	 15 	 22 	 45 	 984 	 -2,5 	 3,9 	 27,82 	  
17:20 07.12.2019 	 2,87 	 3,32 	 17 	 22 	 46 	 984 	 -2,2 	 4 	 28,06 	  
17:10 07.12.2019 	 2,93 	 3,41 	 14 	 21 	 44 	 984 	 -2,2 	 4 	 27,62 	  
17:00 07.12.2019 	 2,98 	 3,49 	 14 	 20 	 56 	 984 	 -2,2 	 3,9 	 27,57 	  
16:50 07.12.2019 	 3,04 	 3,58 	 15 	 20 	 73 	 984 	 -2 	 4 	 28,49 	  
16:40 07.12.2019 	 3,09 	 3,61 	 15 	 20 	 76 	 984 	 -1,5 	 4 	 29,46 	  
16:30 07.12.2019 	 3,13 	 3,65 	 10 	 19 	 68 	 984 	 -1,4 	 4 	 29,45 	  
16:20 07.12.2019 	 3,16 	 3,69 	 9 	 15 	 68 	 984 	 -0,6 	 4 	 29,43 	  
16:10 07.12.2019 	 3,2 	 3,71 	 8 	 11 	 73 	 984 	 -0,3 	 4,1 	 29,43 	  
16:00 07.12.2019 	 3,22 	 3,75 	 4 	 7 	 73 	 984 	 -0 	 4,1 	 29,46 	  
15:50 07.12.2019 	 3,24 	 3,76 	 6 	 10 	 51 	 984 	 -0,1 	 4,1 	 29,44 	  
15:40 07.12.2019 	 3,25 	 3,8 	 7 	 11 	 69 	 984 	 -0,1 	 4,3 	 29,39 	  
15:30 07.12.2019 	 3,26 	 3,79 	 4 	 9 	 51 	 984 	 0,2 	 4,4 	 29,52 	  
15:20 07.12.2019 	 3,26 	 3,83 	 6 	 10 	 51 	 984 	 0,3 	 4,4 	 29,7 	  
15:10 07.12.2019 	 3,25 	 3,81 	 8 	 12 	 74 	 984 	 0,2 	 4,5 	 29,64 	  
15:00 07.12.2019 	 3,24 	 3,8 	 8 	 10 	 87 	 985 	 0,6 	 4,4 	 29,55 	  
14:50 07.12.2019 	 3,22 	 3,79 	 7 	 9 	 97 	 985 	 1 	 4,3 	 29,58 	  
14:40 07.12.2019 	 3,19 	 3,74 	 7 	 11 	 98 	 985 	 1,6 	 4,3 	 29,53 	  
14:30 07.12.2019 	 3,16 	 3,68 	 5 	 8 	 97 	 986 	 1,3 	 4,3 	 29,59 	  
14:20 07.12.2019 	 3,12 	 3,63 	 3 	 4 	 99 	 986 	 1,7 	 4,2 	 29,56 	  
14:10 07.12.2019 	 3,08 	 3,56 	 4 	 7 	 93 	 986 	 1,6 	 4,1 	 29,45 	  
14:00 07.12.2019 	 3,03 	 3,48 	 4 	 6 	 80 	 986 	 1,4 	 4,1 	 29,35 	  
13:50 07.12.2019 	 2,98 	 3,41 	 4 	 6 	 88 	 987 	 1,6 	 4,1 	 29,35 	  
13:40 07.12.2019 	 2,92 	 3,34 	 4 	 5 	 101 	 987 	 1,8 	 4 	 29,36 	  
13:30 07.12.2019 	 2,85 	 3,26 	 3 	 6 	 111 	 987 	 2 	 4 	 29,32 	  
13:20 07.12.2019 	 2,79 	 3,2 	 6 	 8 	 109 	 987 	 1,8 	 4 	 29,34 	  
13:10 07.12.2019 	 2,72 	 3,15 	 7 	 11 	 104 	 987 	 1,7 	 4 	 29,31 	  
13:00 07.12.2019 	 2,65 	 3,09 	 7 	 9 	 96 	 988 	 1,7 	 4 	 29,36 	  
