 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
02:30 21.01.2019 	 0,36 	 0,56 	 5 	 6 	 204 	 982 	 2,2 	  
02:20 21.01.2019 	 0,41 	 0,62 	 5 	 6 	 219 	 982 	 2,2 	  
02:10 21.01.2019 	 0,46 	 0,66 	 7 	 9 	 194 	 982 	 2,4 	  
02:00 21.01.2019 	 0,52 	 0,71 	 7 	 9 	 199 	 982 	 2,6 	  
01:50 21.01.2019 	 0,57 	 0,75 	 9 	 11 	 196 	 982 	 2,7 	  
01:40 21.01.2019 	 0,63 	 0,78 	 10 	 12 	 190 	 982 	 2,9 	  
01:30 21.01.2019 	 0,69 	 0,82 	 10 	 13 	 189 	 982 	 3,2 	  
01:20 21.01.2019 	 0,75 	 0,88 	 11 	 14 	 191 	 982 	 3,4 	  
01:10 21.01.2019 	 0,81 	 0,92 	 12 	 14 	 185 	 981 	 3,5 	  
01:00 21.01.2019 	 0,87 	 0,98 	 14 	 18 	 193 	 982 	 3,8 	  
00:50 21.01.2019 	 0,93 	 1,03 	 15 	 21 	 178 	 981 	 4,2 	  
00:40 21.01.2019 	 0,99 	 1,07 	 13 	 18 	 173 	 981 	 4,3 	  
00:30 21.01.2019 	 1,05 	 1,14 	 13 	 17 	 166 	 982 	 3,8 	  
00:20 21.01.2019 	 1,1 	 1,17 	 15 	 19 	 164 	 982 	 3,9 	  
00:10 21.01.2019 	 1,16 	 1,19 	 15 	 19 	 163 	 982 	 3,7 	  
00:00 21.01.2019 	 1,21 	 1,22 	 15 	 21 	 163 	 982 	 3,4 	  
23:50 20.01.2019 	 1,26 	 1,3 	 16 	 22 	 162 	 982 	 3,4 	  
23:40 20.01.2019 	 1,3 	 1,33 	 17 	 23 	 159 	 983 	 3,4 	  
23:30 20.01.2019 	 1,35 	 1,38 	 17 	 24 	 155 	 983 	 3,6 	  
23:20 20.01.2019 	 1,39 	 1,42 	 16 	 25 	 152 	 983 	 3,3 	  
23:10 20.01.2019 	 1,42 	 1,44 	 16 	 21 	 146 	 983 	 2,3 	  
23:00 20.01.2019 	 1,46 	 1,48 	 15 	 21 	 155 	 984 	 2,4 	  
22:50 20.01.2019 	 1,48 	 1,55 	 13 	 22 	 145 	 985 	 2,8 	  
22:40 20.01.2019 	 1,51 	 1,56 	 12 	 17 	 141 	 985 	 2,9 	  
22:30 20.01.2019 	 1,53 	 1,51 	 9 	 17 	 134 	 985 	 2,8 	  
22:20 20.01.2019 	 1,54 	 1,52 	 10 	 20 	 105 	 986 	 2,6 	  
22:10 20.01.2019 	 1,55 	 1,55 	 13 	 18 	 106 	 986 	 2,4 	  
22:00 20.01.2019 	 1,56 	 1,55 	 14 	 20 	 105 	 986 	 0,8 	  
21:50 20.01.2019 	 1,56 	 1,52 	 13 	 18 	 104 	 987 	 0,4 	  
21:40 20.01.2019 	 1,56 	 1,51 	 13 	 20 	 99 	 988 	 0,5 	  
21:30 20.01.2019 	 1,55 	 1,49 	 14 	 19 	 120 	 988 	 1,9 	  
21:20 20.01.2019 	 1,54 	 1,46 	 12 	 15 	 131 	 989 	 0,9 	  
21:10 20.01.2019 	 1,52 	 1,41 	 12 	 15 	 138 	 990 	 0,5 	  
21:00 20.01.2019 	 1,5 	 1,37 	 11 	 15 	 135 	 990 	 0,9 	  
20:50 20.01.2019 	 1,47 	 1,35 	 12 	 16 	 137 	 990 	 0,4 	  
20:40 20.01.2019 	 1,44 	 1,3 	 12 	 15 	 139 	 991 	 0,2 	  
20:30 20.01.2019 	 1,41 	 1,25 	 11 	 14 	 134 	 991 	 -0 	  
20:20 20.01.2019 	 1,37 	 1,21 	 11 	 16 	 144 	 992 	 0,1 	  
20:10 20.01.2019 	 1,32 	 1,17 	 10 	 14 	 138 	 992 	 -0,2 	  
20:00 20.01.2019 	 1,28 	 1,13 	 11 	 15 	 142 	 992 	 -0,1 	  
19:50 20.01.2019 	 1,23 	 1,07 	 9 	 12 	 136 	 993 	 -0,1 	  
19:40 20.01.2019 	 1,18 	 1,02 	 9 	 12 	 130 	 993 	 -0 	  
19:30 20.01.2019 	 1,13 	 0,96 	 9 	 13 	 131 	 993 	 -0,1 	  
19:20 20.01.2019 	 1,07 	 0,94 	 10 	 13 	 134 	 994 	 0 	  
19:10 20.01.2019 	 1,02 	 0,88 	 9 	 12 	 137 	 994 	 -0,1 	  
19:00 20.01.2019 	 0,96 	 0,86 	 9 	 12 	 139 	 995 	 -0,9 	  
18:50 20.01.2019 	 0,9 	 0,8 	 10 	 12 	 139 	 995 	 -0,6 	  
18:40 20.01.2019 	 0,84 	 0,75 	 9 	 14 	 148 	 996 	 -0,7 	  
18:30 20.01.2019 	 0,78 	 0,7 	 8 	 10 	 154 	 996 	 -0,5 	  
18:20 20.01.2019 	 0,72 	 0,66 	 9 	 12 	 160 	 996 	 -0,1 	  
18:10 20.01.2019 	 0,66 	 0,62 	 10 	 13 	 165 	 996 	 0 	  
18:00 20.01.2019 	 0,6 	 0,57 	 11 	 14 	 169 	 996 	 0,1 	  
17:50 20.01.2019 	 0,55 	 0,53 	 10 	 12 	 173 	 996 	 0,3 	  
17:40 20.01.2019 	 0,5 	 0,45 	 9 	 12 	 171 	 997 	 0 	  
17:30 20.01.2019 	 0,45 	 0,41 	 8 	 10 	 156 	 997 	 -0,5 	  
17:20 20.01.2019 	 0,4 	 0,35 	 9 	 11 	 164 	 997 	 -0,1 	  
17:10 20.01.2019 	 0,36 	 0,31 	 8 	 10 	 163 	 998 	 -0,1 	  
17:00 20.01.2019 	 0,32 	 0,25 	 8 	 10 	 165 	 998 	 -0,1 	  
16:50 20.01.2019 	 0,29 	 0,21 	 9 	 12 	 167 	 998 	 0,2 	  
16:40 20.01.2019 	 0,26 	 0,18 	 7 	 9 	 152 	 998 	 -0,4 	  
16:30 20.01.2019 	 0,24 	 0,12 	 6 	 8 	 143 	 998 	 -0,7 	  
16:20 20.01.2019 	 0,22 	 0,08 	 9 	 12 	 163 	 998 	 -0,3 	  
16:10 20.01.2019 	 0,2 	 0,08 	 12 	 15 	 186 	 998 	 0,2 	  
16:00 20.01.2019 	 0,19 	 0,06 	 13 	 16 	 193 	 998 	 0,3 	  
15:50 20.01.2019 	 0,19 	 0,06 	 12 	 16 	 192 	 998 	 0,2 	  
15:40 20.01.2019 	 0,19 	 0,06 	 12 	 15 	 190 	 999 	 0,1 	  
15:30 20.01.2019 	 0,2 	 0,06 	 11 	 14 	 186 	 999 	 -0,2 	  
15:20 20.01.2019 	 0,21 	 0,05 	 10 	 13 	 191 	 999 	 0,1 	  
15:10 20.01.2019 	 0,23 	 0,07 	 11 	 15 	 184 	 999 	 -0,1 	  
15:00 20.01.2019 	 0,26 	 0,1 	 12 	 15 	 189 	 999 	 -0,3 	  
14:50 20.01.2019 	 0,28 	 0,12 	 10 	 13 	 210 	 998 	 0,3 	  
14:40 20.01.2019 	 0,32 	 0,15 	 10 	 14 	 210 	 998 	 0 	  
14:30 20.01.2019 	 0,36 	 0,18 	 10 	 13 	 208 	 998 	 0 	  
14:20 20.01.2019 	 0,4 	 0,23 	 10 	 12 	 199 	 999 	 -0,1 	  
14:10 20.01.2019 	 0,44 	 0,27 	 9 	 13 	 210 	 999 	 -0,1 	  
14:00 20.01.2019 	 0,49 	 0,32 	 11 	 14 	 207 	 999 	 -0,1 	  
13:50 20.01.2019 	 0,54 	 0,36 	 11 	 14 	 201 	 999 	 0,2 	  
13:40 20.01.2019 	 0,6 	 0,43 	 11 	 15 	 203 	 999 	 0,2 	  
13:30 20.01.2019 	 0,65 	 0,48 	 12 	 15 	 203 	 998 	 0,6 	  
13:20 20.01.2019 	 0,71 	 0,53 	 12 	 15 	 202 	 998 	 0,4 	  
13:10 20.01.2019 	 0,77 	 0,59 	 12 	 17 	 193 	 998 	 0,3 	  
13:00 20.01.2019 	 0,83 	 0,64 	 12 	 16 	 206 	 998 	 0,3 	  
12:50 20.01.2019 	 0,89 	 0,69 	 9 	 13 	 220 	 998 	 0,3 	  
12:40 20.01.2019 	 0,95 	 0,74 	 10 	 13 	 215 	 998 	 0,3 	  
12:30 20.01.2019 	 1,01 	 0,8 	 10 	 13 	 199 	 998 	 0,2 	  
12:20 20.01.2019 	 1,07 	 0,85 	 9 	 11 	 167 	 998 	 -0,4 	  
12:10 20.01.2019 	 1,12 	 0,9 	 7 	 10 	 156 	 998 	 -1 	  
12:00 20.01.2019 	 1,18 	 0,95 	 8 	 10 	 158 	 998 	 -1,2 	  
11:50 20.01.2019 	 1,24 	 1 	 9 	 11 	 167 	 998 	 -0,8 	  
11:40 20.01.2019 	 1,29 	 1,04 	 8 	 10 	 160 	 998 	 -0,8 	  
11:30 20.01.2019 	 1,34 	 1,11 	 9 	 11 	 171 	 998 	 -0,5 	  
11:20 20.01.2019 	 1,39 	 1,17 	 11 	 15 	 180 	 998 	 -0,5 	  
11:10 20.01.2019 	 1,43 	 1,21 	 12 	 15 	 185 	 998 	 -0,6 	  
11:00 20.01.2019 	 1,47 	 1,26 	 11 	 16 	 176 	 998 	 -0,5 	  
10:50 20.01.2019 	 1,51 	 1,29 	 12 	 16 	 180 	 998 	 -0,7 	  
10:40 20.01.2019 	 1,54 	 1,33 	 13 	 15 	 185 	 998 	 -0,6 	  
10:30 20.01.2019 	 1,57 	 1,37 	 12 	 16 	 184 	 998 	 -0,6 	  
10:20 20.01.2019 	 1,6 	 1,41 	 13 	 17 	 187 	 998 	 -0,4 	  
10:10 20.01.2019 	 1,62 	 1,41 	 12 	 15 	 188 	 998 	 -0,4 	  
10:00 20.01.2019 	 1,64 	 1,46 	 11 	 16 	 186 	 998 	 -0,4 	  
09:50 20.01.2019 	 1,65 	 1,48 	 12 	 15 	 191 	 998 	 -0,3 	  
09:40 20.01.2019 	 1,66 	 1,48 	 12 	 14 	 190 	 998 	 -0,3 	  
09:30 20.01.2019 	 1,66 	 1,5 	 11 	 14 	 190 	 998 	 -0,3 	  
09:20 20.01.2019 	 1,66 	 1,51 	 12 	 15 	 189 	 998 	 -0,4 	  
09:10 20.01.2019 	 1,66 	 1,5 	 12 	 15 	 193 	 998 	 -0,4 	  
09:00 20.01.2019 	 1,64 	 1,5 	 13 	 17 	 195 	 998 	 -0,5 	  
08:50 20.01.2019 	 1,63 	 1,51 	 14 	 17 	 192 	 998 	 -0,6 	  
08:40 20.01.2019 	 1,61 	 1,48 	 14 	 17 	 192 	 997 	 -0,4 	  
08:30 20.01.2019 	 1,58 	 1,48 	 14 	 17 	 191 	 997 	 -0,7 	  
08:20 20.01.2019 	 1,56 	 1,46 	 14 	 17 	 191 	 997 	 -0,4 	  
08:10 20.01.2019 	 1,52 	 1,42 	 14 	 17 	 194 	 997 	 -0,3 	  
08:00 20.01.2019 	 1,48 	 1,38 	 13 	 16 	 200 	 997 	 -0,1 	  
07:50 20.01.2019 	 1,44 	 1,37 	 13 	 16 	 198 	 997 	 -0,1 	  
07:40 20.01.2019 	 1,4 	 1,31 	 13 	 15 	 189 	 997 	 -0,2 	  
07:30 20.01.2019 	 1,35 	 1,29 	 13 	 16 	 188 	 997 	 -0,3 	  
07:20 20.01.2019 	 1,3 	 1,25 	 12 	 15 	 182 	 997 	 -0,4 	  
