 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
18:00 04.01.2019 	 2,35 	 2 	 8 	 10 	 117 	 1016 	 8 	  
17:50 04.01.2019 	 2,38 	 2,12 	 8 	 10 	 116 	 1016 	 8 	  
17:40 04.01.2019 	 2,41 	 2,15 	 8 	 10 	 123 	 1016 	 8,1 	  
17:30 04.01.2019 	 2,43 	 2,05 	 8 	 11 	 126 	 1016 	 8,2 	  
17:20 04.01.2019 	 2,44 	 2 	 8 	 11 	 125 	 1016 	 8,2 	  
17:10 04.01.2019 	 2,45 	 2,09 	 9 	 13 	 131 	 1016 	 8,3 	  
17:00 04.01.2019 	 2,46 	 2,27 	 8 	 12 	 126 	 1016 	 8,1 	  
16:50 04.01.2019 	 2,45 	 2,04 	 8 	 11 	 130 	 1016 	 8,3 	  
16:40 04.01.2019 	 2,44 	 2,1 	 9 	 11 	 124 	 1016 	 8,2 	  
16:30 04.01.2019 	 2,42 	 2,04 	 8 	 11 	 127 	 1016 	 8,1 	  
