 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (°)	Loftthrystingur (hpa)	Lofthiti (°C)	
04:40 28.01.2019 	 0,82 	 1,01 	 2 	 3 	 246 	 1001 	 -5 	  
04:30 28.01.2019 	 0,78 	 0,98 	 2 	 3 	 256 	 1001 	 -5,4 	  
04:20 28.01.2019 	 0,75 	 0,93 	 3 	 4 	 262 	 1001 	 -5,9 	  
04:10 28.01.2019 	 0,71 	 0,85 	 2 	 3 	 244 	 1002 	 -5,2 	  
04:00 28.01.2019 	 0,68 	 0,81 	 2 	 3 	 246 	 1002 	 -5,3 	  
03:50 28.01.2019 	 0,65 	 0,78 	 2 	 3 	 258 	 1002 	 -5,7 	  
03:40 28.01.2019 	 0,62 	 0,72 	 3 	 4 	 249 	 1002 	 -5,6 	  
03:30 28.01.2019 	 0,59 	 0,74 	 3 	 4 	 258 	 1002 	 -5,9 	  
03:20 28.01.2019 	 0,56 	 0,71 	 3 	 3 	 250 	 1002 	 -5,8 	  
03:10 28.01.2019 	 0,54 	 0,65 	 2 	 3 	 246 	 1002 	 -5,9 	  
03:00 28.01.2019 	 0,51 	 0,61 	 2 	 3 	 259 	 1002 	 -6,6 	  
02:50 28.01.2019 	 0,49 	 0,56 	 3 	 4 	 257 	 1002 	 -6,6 	  
02:40 28.01.2019 	 0,48 	 0,55 	 3 	 3 	 251 	 1002 	 -6,8 	  
02:30 28.01.2019 	 0,46 	 0,56 	 3 	 4 	 254 	 1002 	 -6,8 	  
02:20 28.01.2019 	 0,45 	 0,54 	 3 	 4 	 241 	 1002 	 -6,5 	  
02:10 28.01.2019 	 0,44 	 0,58 	 2 	 3 	 247 	 1003 	 -6,6 	  
02:00 28.01.2019 	 0,44 	 0,52 	 2 	 3 	 261 	 1003 	 -6,8 	  
01:50 28.01.2019 	 0,44 	 0,55 	 3 	 3 	 261 	 1003 	 -7,1 	  
01:40 28.01.2019 	 0,44 	 0,54 	 3 	 3 	 257 	 1003 	 -7,1 	  
01:30 28.01.2019 	 0,45 	 0,57 	 2 	 3 	 249 	 1003 	 -7,2 	  
01:20 28.01.2019 	 0,46 	 0,62 	 3 	 3 	 253 	 1003 	 -7,4 	  
01:10 28.01.2019 	 0,47 	 0,66 	 2 	 3 	 246 	 1003 	 -7,2 	  
01:00 28.01.2019 	 0,49 	 0,69 	 2 	 3 	 248 	 1003 	 -8,1 	  
00:50 28.01.2019 	 0,5 	 0,68 	 2 	 2 	 263 	 1003 	 -8,2 	  
00:40 28.01.2019 	 0,53 	 0,67 	 2 	 3 	 266 	 1003 	 -8,5 	  
00:30 28.01.2019 	 0,55 	 0,67 	 2 	 3 	 260 	 1003 	 -8,5 	  
00:20 28.01.2019 	 0,58 	 0,69 	 2 	 2 	 259 	 1003 	 -8,3 	  
00:10 28.01.2019 	 0,61 	 0,74 	 2 	 3 	 257 	 1003 	 -7,9 	  
00:00 28.01.2019 	 0,64 	 0,8 	 2 	 3 	 253 	 1003 	 -7,9 	  
23:50 27.01.2019 	 0,68 	 0,85 	 2 	 3 	 241 	 1004 	 -7,1 	  
23:40 27.01.2019 	 0,71 	 0,9 	 2 	 3 	 252 	 1004 	 -7,2 	  
23:30 27.01.2019 	 0,75 	 0,92 	 3 	 4 	 264 	 1004 	 -7,7 	  
23:20 27.01.2019 	 0,79 	 0,93 	 3 	 4 	 261 	 1004 	 -8,3 	  
