 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
23:50 17.01.2019 	 1,85 	 1,76 	 4 	 6 	 55 	 1005 	 1,8 	  
23:40 17.01.2019 	 1,75 	 1,69 	 4 	 6 	 51 	 1005 	 1,8 	  
23:30 17.01.2019 	 1,67 	 1,6 	 4 	 6 	 53 	 1005 	 1,8 	  
23:20 17.01.2019 	 1,58 	 1,56 	 4 	 6 	 59 	 1004 	 1,9 	  
23:10 17.01.2019 	 1,5 	 1,44 	 4 	 6 	 56 	 1004 	 1,9 	  
23:00 17.01.2019 	 1,43 	 1,41 	 4 	 6 	 58 	 1004 	 1,9 	  
22:50 17.01.2019 	 1,36 	 1,35 	 4 	 6 	 60 	 1004 	 1,9 	  
22:40 17.01.2019 	 1,3 	 1,24 	 4 	 6 	 65 	 1004 	 1,6 	  
22:30 17.01.2019 	 1,25 	 1,23 	 4 	 6 	 68 	 1004 	 1,5 	  
22:20 17.01.2019 	 1,2 	 1,16 	 4 	 6 	 68 	 1004 	 1,5 	  
22:10 17.01.2019 	 1,16 	 1,13 	 4 	 6 	 60 	 1004 	 1,8 	  
22:00 17.01.2019 	 1,13 	 1,05 	 4 	 6 	 60 	 1004 	 1,8 	  
21:50 17.01.2019 	 1,11 	 1,08 	 4 	 6 	 60 	 1004 	 1,8 	  
21:40 17.01.2019 	 1,1 	 1,04 	 4 	 7 	 60 	 1004 	 1,6 	  
21:30 17.01.2019 	 1,09 	 1,02 	 4 	 6 	 57 	 1004 	 1,7 	  
21:20 17.01.2019 	 1,1 	 1,03 	 5 	 8 	 56 	 1005 	 1,7 	  
21:10 17.01.2019 	 1,11 	 1,05 	 5 	 8 	 51 	 1005 	 1,6 	  
21:00 17.01.2019 	 1,13 	 1,03 	 5 	 8 	 54 	 1005 	 1,6 	  
20:50 17.01.2019 	 1,16 	 1,08 	 6 	 9 	 47 	 1005 	 1,4 	  
20:40 17.01.2019 	 1,19 	 1,09 	 6 	 9 	 46 	 1005 	 1,3 	  
20:30 17.01.2019 	 1,24 	 1,12 	 7 	 9 	 47 	 1005 	 1,5 	  
20:20 17.01.2019 	 1,29 	 1,15 	 6 	 8 	 49 	 1005 	 1,4 	  
20:10 17.01.2019 	 1,34 	 1,22 	 6 	 9 	 49 	 1005 	 1,4 	  
20:00 17.01.2019 	 1,4 	 1,27 	 6 	 9 	 46 	 1005 	 1,3 	  
19:50 17.01.2019 	 1,47 	 1,33 	 7 	 10 	 46 	 1005 	 1,3 	  
19:40 17.01.2019 	 1,54 	 1,4 	 7 	 10 	 47 	 1005 	 1,1 	  
19:30 17.01.2019 	 1,62 	 1,46 	 5 	 8 	 42 	 1005 	 1 	  
19:20 17.01.2019 	 1,7 	 1,52 	 5 	 8 	 42 	 1005 	 1 	  
19:10 17.01.2019 	 1,78 	 1,61 	 6 	 8 	 44 	 1005 	 0,9 	  
19:00 17.01.2019 	 1,86 	 1,66 	 6 	 8 	 45 	 1005 	 0,7 	  
18:50 17.01.2019 	 1,95 	 1,76 	 7 	 9 	 47 	 1005 	 0,7 	  
18:40 17.01.2019 	 2,04 	 1,82 	 6 	 8 	 44 	 1005 	 0,7 	  
18:30 17.01.2019 	 2,12 	 1,92 	 6 	 8 	 43 	 1005 	 0,6 	  
18:20 17.01.2019 	 2,21 	 1,96 	 6 	 9 	 47 	 1005 	 0,6 	  
18:10 17.01.2019 	 2,3 	 2,07 	 6 	 8 	 47 	 1005 	 0,5 	  
18:00 17.01.2019 	 2,38 	 2,14 	 6 	 9 	 47 	 1005 	 0,5 	  
17:50 17.01.2019 	 2,46 	 2,21 	 6 	 9 	 49 	 1005 	 0,5 	  
17:40 17.01.2019 	 2,54 	 2,29 	 6 	 9 	 51 	 1005 	 0,5 	  
17:30 17.01.2019 	 2,62 	 2,35 	 6 	 9 	 52 	 1005 	 0,4 	  
17:20 17.01.2019 	 2,7 	 2,43 	 6 	 10 	 51 	 1005 	 0,4 	  
17:10 17.01.2019 	 2,77 	 2,5 	 6 	 10 	 49 	 1005 	 0,3 	  
17:00 17.01.2019 	 2,83 	 2,57 	 6 	 9 	 52 	 1005 	 0,3 	  
16:50 17.01.2019 	 2,9 	 2,65 	 6 	 10 	 54 	 1005 	 0,2 	  
16:40 17.01.2019 	 2,95 	 2,7 	 6 	 10 	 58 	 1006 	 0,2 	  
16:30 17.01.2019 	 3,01 	 2,74 	 5 	 9 	 59 	 1006 	 0,2 	  
16:20 17.01.2019 	 3,05 	 2,78 	 5 	 8 	 57 	 1006 	 0,2 	  
16:10 17.01.2019 	 3,1 	 2,82 	 5 	 9 	 56 	 1006 	 0,2 	  
