 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
19:10 30.01.2019 	 0,9 	 1,12 	 4 	 8 	 359 	 1003 	 -2 	  
19:00 30.01.2019 	 0,9 	 1,1 	 4 	 6 	 22 	 1003 	 -2,4 	  
18:50 30.01.2019 	 0,9 	 1,14 	 6 	 10 	 12 	 1003 	 -2,7 	  
18:40 30.01.2019 	 0,9 	 1,09 	 4 	 9 	 5 	 1003 	 -2 	  
18:30 30.01.2019 	 0,89 	 1,12 	 4 	 7 	 14 	 1003 	 -2,6 	  
18:20 30.01.2019 	 0,89 	 1,09 	 7 	 11 	 22 	 1003 	 -2,7 	  
18:10 30.01.2019 	 0,88 	 1,08 	 5 	 8 	 1 	 1003 	 -2,2 	  
18:00 30.01.2019 	 0,86 	 1,07 	 5 	 8 	 16 	 1003 	 -2,3 	  
17:50 30.01.2019 	 0,85 	 1,01 	 5 	 8 	 25 	 1003 	 -2,2 	  
17:40 30.01.2019 	 0,84 	 1,04 	 6 	 9 	 21 	 1003 	 -2,5 	  
17:30 30.01.2019 	 0,83 	 1 	 6 	 9 	 26 	 1003 	 -2,2 	  
17:20 30.01.2019 	 0,81 	 0,96 	 6 	 10 	 2 	 1003 	 -2,2 	  
17:10 30.01.2019 	 0,79 	 0,96 	 6 	 9 	 348 	 1003 	 -2,2 	  
17:00 30.01.2019 	 0,77 	 0,93 	 8 	 10 	 344 	 1003 	 -2,2 	  
16:50 30.01.2019 	 0,76 	 0,87 	 7 	 10 	 343 	 1002 	 -2 	  
16:40 30.01.2019 	 0,74 	 0,91 	 4 	 7 	 8 	 1002 	 -1,9 	  
16:30 30.01.2019 	 0,72 	 0,9 	 2 	 3 	 22 	 1003 	 -3,1 	  
16:20 30.01.2019 	 0,7 	 0,87 	 4 	 7 	 13 	 1002 	 -3,3 	  
16:10 30.01.2019 	 0,68 	 0,79 	 5 	 10 	 354 	 1002 	 -3,1 	  
16:00 30.01.2019 	 0,65 	 0,8 	 5 	 8 	 351 	 1002 	 -2,2 	  
15:50 30.01.2019 	 0,63 	 0,77 	 5 	 8 	 356 	 1002 	 -2,6 	  
15:40 30.01.2019 	 0,61 	 0,76 	 5 	 8 	 357 	 1002 	 -2,4 	  
15:30 30.01.2019 	 0,59 	 0,72 	 5 	 8 	 312 	 1002 	 -1,9 	  
15:20 30.01.2019 	 0,57 	 0,7 	 5 	 8 	 326 	 1002 	 -2,2 	  
15:10 30.01.2019 	 0,55 	 0,68 	 5 	 7 	 343 	 1003 	 -2,3 	  
15:00 30.01.2019 	 0,53 	 0,65 	 6 	 9 	 324 	 1003 	 -2,3 	  
14:50 30.01.2019 	 0,52 	 0,65 	 5 	 7 	 314 	 1003 	 -2,4 	  
14:40 30.01.2019 	 0,5 	 0,63 	 7 	 10 	 305 	 1003 	 -2,7 	  
14:30 30.01.2019 	 0,49 	 0,61 	 6 	 9 	 308 	 1003 	 -2,6 	  
14:20 30.01.2019 	 0,47 	 0,6 	 7 	 10 	 320 	 1003 	 -3 	  
14:10 30.01.2019 	 0,46 	 0,56 	 7 	 9 	 309 	 1003 	 -2,3 	  
14:00 30.01.2019 	 0,45 	 0,59 	 6 	 9 	 315 	 1003 	 -2,1 	  
13:50 30.01.2019 	 0,44 	 0,53 	 7 	 10 	 314 	 1003 	 -2,2 	  
13:40 30.01.2019 	 0,44 	 0,51 	 6 	 9 	 309 	 1003 	 -2,1 	  
13:30 30.01.2019 	 0,43 	 0,5 	 6 	 9 	 311 	 1003 	 -2,3 	  
13:20 30.01.2019 	 0,43 	 0,5 	 6 	 10 	 316 	 1003 	 -2,3 	  
13:10 30.01.2019 	 0,42 	 0,5 	 6 	 9 	 324 	 1003 	 -2,6 	  
13:00 30.01.2019 	 0,42 	 0,5 	 6 	 9 	 334 	 1004 	 -2,7 	  
12:50 30.01.2019 	 0,43 	 0,48 	 6 	 8 	 325 	 1004 	 -2,8 	  
12:40 30.01.2019 	 0,43 	 0,48 	 7 	 10 	 329 	 1004 	 -2,9 	  
12:30 30.01.2019 	 0,44 	 0,5 	 7 	 10 	 337 	 1004 	 -2,6 	  
12:20 30.01.2019 	 0,44 	 0,5 	 7 	 10 	 341 	 1004 	 -2,5 	  
12:10 30.01.2019 	 0,45 	 0,5 	 6 	 9 	 345 	 1004 	 -2,6 	  
12:00 30.01.2019 	 0,46 	 0,52 	 6 	 8 	 346 	 1004 	 -3 	  
11:50 30.01.2019 	 0,47 	 0,56 	 6 	 9 	 349 	 1004 	 -2,8 	  
11:40 30.01.2019 	 0,49 	 0,59 	 6 	 9 	 353 	 1004 	 -3 	  
11:30 30.01.2019 	 0,5 	 0,59 	 8 	 11 	 341 	 1004 	 -3 	  
11:20 30.01.2019 	 0,52 	 0,63 	 9 	 12 	 340 	 1004 	 -3 	  
11:10 30.01.2019 	 0,53 	 0,64 	 7 	 11 	 355 	 1004 	 -3 	  
11:00 30.01.2019 	 0,56 	 0,65 	 8 	 11 	 343 	 1003 	 -3 	  
10:50 30.01.2019 	 0,57 	 0,71 	 7 	 10 	 350 	 1003 	 -2,8 	  
10:40 30.01.2019 	 0,59 	 0,73 	 9 	 13 	 338 	 1003 	 -2,8 	  
10:30 30.01.2019 	 0,61 	 0,75 	 8 	 13 	 340 	 1003 	 -3,2 	  
10:20 30.01.2019 	 0,64 	 0,79 	 5 	 10 	 354 	 1003 	 -2,9 	  
10:10 30.01.2019 	 0,66 	 0,82 	 6 	 9 	 330 	 1003 	 -3,4 	  
10:00 30.01.2019 	 0,68 	 0,87 	 6 	 9 	 302 	 1004 	 -3,8 	  
09:50 30.01.2019 	 0,7 	 0,87 	 7 	 11 	 314 	 1004 	 -3,9 	  
09:40 30.01.2019 	 0,72 	 0,91 	 5 	 10 	 344 	 1004 	 -3,7 	  
09:30 30.01.2019 	 0,74 	 0,94 	 7 	 9 	 338 	 1004 	 -3,2 	  
09:20 30.01.2019 	 0,76 	 0,97 	 6 	 10 	 343 	 1004 	 -3,7 	  
