 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
06:00 28.01.2019 	 1,1 	 1,44 	 2 	 3 	 151 	 -1 	  
05:50 28.01.2019 	 1,1 	 1,46 	 2 	 3 	 174 	 -0,8 	  
05:40 28.01.2019 	 1,11 	 1,47 	 1 	 3 	 208 	 -0,7 	  
05:30 28.01.2019 	 1,12 	 1,48 	 2 	 4 	 205 	 -0,8 	  
05:20 28.01.2019 	 1,15 	 1,49 	 4 	 6 	 223 	 -0,8 	  
05:10 28.01.2019 	 1,18 	 1,52 	 4 	 6 	 203 	 -1,3 	  
05:00 28.01.2019 	 1,22 	 1,55 	 3 	 5 	 178 	 -1,8 	  
04:50 28.01.2019 	 1,26 	 1,61 	 2 	 4 	 157 	 -2,8 	  
04:40 28.01.2019 	 1,32 	 1,7 	 4 	 5 	 119 	 -2,6 	  
04:30 28.01.2019 	 1,38 	 1,72 	 4 	 4 	 113 	 -2,3 	  
04:20 28.01.2019 	 1,45 	 1,77 	 4 	 4 	 117 	 -2 	  
04:10 28.01.2019 	 1,53 	 1,85 	 4 	 4 	 125 	 -2,3 	  
04:00 28.01.2019 	 1,61 	 1,93 	 4 	 4 	 132 	 -2,6 	  
03:50 28.01.2019 	 1,69 	 2,02 	 4 	 4 	 131 	 -2,4 	  
03:40 28.01.2019 	 1,78 	 2,13 	 3 	 4 	 128 	 -2,1 	  
03:30 28.01.2019 	 1,87 	 2,22 	 3 	 4 	 118 	 -1,5 	  
03:20 28.01.2019 	 1,97 	 2,32 	 4 	 4 	 106 	 -1,6 	  
03:10 28.01.2019 	 2,06 	 2,41 	 4 	 4 	 112 	 -1,4 	  
03:00 28.01.2019 	 2,16 	 2,49 	 4 	 5 	 104 	 -1,2 	  
02:50 28.01.2019 	 2,26 	 2,58 	 4 	 4 	 103 	 -0,9 	  
02:40 28.01.2019 	 2,36 	 2,68 	 4 	 4 	 102 	 -1 	  
02:30 28.01.2019 	 2,46 	 2,81 	 3 	 4 	 117 	 -1,1 	  
02:20 28.01.2019 	 2,55 	 2,92 	 3 	 4 	 122 	 -1 	  
02:10 28.01.2019 	 2,65 	 3,03 	 4 	 4 	 113 	 -1 	  
02:00 28.01.2019 	 2,74 	 3,13 	 3 	 3 	 123 	 -1,3 	  
01:50 28.01.2019 	 2,83 	 3,18 	 3 	 3 	 137 	 -1,3 	  
01:40 28.01.2019 	 2,91 	 3,27 	 3 	 3 	 137 	 -1,4 	  
01:30 28.01.2019 	 2,99 	 3,37 	 2 	 3 	 145 	 -1,4 	  
01:20 28.01.2019 	 3,06 	 3,45 	 3 	 3 	 133 	 -1,4 	  
01:10 28.01.2019 	 3,13 	 3,53 	 3 	 4 	 120 	 -1,4 	  
01:00 28.01.2019 	 3,19 	 3,59 	 3 	 4 	 112 	 -1,3 	  
00:50 28.01.2019 	 3,25 	 3,62 	 3 	 4 	 102 	 -1,3 	  
00:40 28.01.2019 	 3,3 	 3,64 	 3 	 4 	 100 	 -1,3 	  
00:30 28.01.2019 	 3,34 	 3,65 	 3 	 4 	 86 	 -1,3 	  
00:20 28.01.2019 	 3,37 	 3,67 	 3 	 4 	 98 	 -1,4 	  
00:10 28.01.2019 	 3,4 	 3,69 	 3 	 4 	 99 	 -1,4 	  
00:00 28.01.2019 	 3,42 	 3,7 	 3 	 4 	 107 	 -1,5 	  
23:50 27.01.2019 	 3,43 	 3,7 	 3 	 4 	 111 	 -1,4 	  
23:40 27.01.2019 	 3,43 	 3,68 	 2 	 3 	 117 	 -1,6 	  
23:30 27.01.2019 	 3,42 	 3,63 	 3 	 3 	 120 	 -1,7 	  
23:20 27.01.2019 	 3,41 	 3,6 	 3 	 4 	 114 	 -1,6 	  
23:10 27.01.2019 	 3,38 	 3,58 	 3 	 4 	 121 	 -1,5 	  
23:00 27.01.2019 	 3,35 	 3,54 	 3 	 5 	 109 	 -1,5 	  
22:50 27.01.2019 	 3,31 	 3,54 	 4 	 4 	 84 	 -1,4 	  
22:40 27.01.2019 	 3,27 	 3,51 	 4 	 5 	 77 	 -1,4 	  
22:30 27.01.2019 	 3,21 	 3,49 	 4 	 5 	 73 	 -1,5 	  
22:20 27.01.2019 	 3,15 	 3,42 	 3 	 4 	 70 	 -1,6 	  
22:10 27.01.2019 	 3,08 	 3,35 	 2 	 3 	 65 	 -1,6 	  
22:00 27.01.2019 	 3,01 	 3,28 	 1 	 2 	 18 	 -1,7 	  
21:50 27.01.2019 	 2,93 	 3,24 	 1 	 2 	 317 	 -1,5 	  
21:40 27.01.2019 	 2,84 	 3,16 	 1 	 1 	 17 	 -1,3 	  
21:30 27.01.2019 	 2,75 	 3,1 	 1 	 2 	 83 	 -1,1 	  
21:20 27.01.2019 	 2,66 	 3,02 	 2 	 4 	 97 	 -1,1 	  
21:10 27.01.2019 	 2,56 	 2,91 	 4 	 5 	 88 	 -1 	  
21:00 27.01.2019 	 2,46 	 2,78 	 4 	 7 	 81 	 -1,1 	  
20:50 27.01.2019 	 2,36 	 2,66 	 5 	 6 	 84 	 -1,2 	  
20:40 27.01.2019 	 2,26 	 2,58 	 6 	 9 	 84 	 -1,1 	  
20:30 27.01.2019 	 2,15 	 2,48 	 8 	 11 	 73 	 -1,1 	  
20:20 27.01.2019 	 2,05 	 2,38 	 8 	 11 	 78 	 -1,3 	  
20:10 27.01.2019 	 1,95 	 2,3 	 9 	 12 	 78 	 -1,3 	  
20:00 27.01.2019 	 1,84 	 2,19 	 10 	 12 	 82 	 -1,2 	  
19:50 27.01.2019 	 1,74 	 2,05 	 9 	 13 	 86 	 -1,3 	  
19:40 27.01.2019 	 1,65 	 1,95 	 10 	 13 	 85 	 -1,3 	  
19:30 27.01.2019 	 1,55 	 1,84 	 9 	 11 	 84 	 -1,4 	  
19:20 27.01.2019 	 1,46 	 1,78 	 9 	 12 	 85 	 -1,4 	  
19:10 27.01.2019 	 1,37 	 1,69 	 10 	 12 	 83 	 -1,5 	  
19:00 27.01.2019 	 1,29 	 1,61 	 10 	 13 	 82 	 -1,5 	  
18:50 27.01.2019 	 1,22 	 1,52 	 10 	 14 	 84 	 -1,6 	  
18:40 27.01.2019 	 1,15 	 1,41 	 11 	 14 	 86 	 -1,8 	  
18:30 27.01.2019 	 1,09 	 1,35 	 11 	 13 	 84 	 -1,6 	  
18:20 27.01.2019 	 1,03 	 1,3 	 11 	 13 	 84 	 -1,8 	  
18:10 27.01.2019 	 0,98 	 1,23 	 11 	 15 	 83 	 -2 	  
18:00 27.01.2019 	 0,95 	 1,19 	 12 	 15 	 80 	 -1,7 	  
17:50 27.01.2019 	 0,92 	 1,19 	 12 	 15 	 77 	 -1,7 	  
17:40 27.01.2019 	 0,89 	 1,17 	 12 	 16 	 75 	 -2 	  
17:30 27.01.2019 	 0,88 	 1,15 	 12 	 14 	 75 	 -1,8 	  
17:20 27.01.2019 	 0,88 	 1,13 	 12 	 15 	 74 	 -1,8 	  
17:10 27.01.2019 	 0,89 	 1,13 	 11 	 14 	 79 	 -1,6 	  
17:00 27.01.2019 	 0,9 	 1,19 	 11 	 13 	 88 	 -1,7 	  
16:50 27.01.2019 	 0,93 	 1,24 	 10 	 14 	 85 	 -1,6 	  
16:40 27.01.2019 	 0,97 	 1,29 	 10 	 14 	 85 	 -1,1 	  
16:30 27.01.2019 	 1,01 	 1,33 	 10 	 13 	 80 	 -1,6 	  
16:20 27.01.2019 	 1,07 	 1,35 	 10 	 13 	 75 	 -1,8 	  
16:10 27.01.2019 	 1,13 	 1,4 	 10 	 13 	 76 	 -1,8 	  
16:00 27.01.2019 	 1,2 	 1,46 	 10 	 12 	 76 	 -1,7 	  
15:50 27.01.2019 	 1,28 	 1,55 	 9 	 11 	 80 	 -1,7 	  
15:40 27.01.2019 	 1,37 	 1,63 	 9 	 11 	 83 	 -1,9 	  
15:30 27.01.2019 	 1,46 	 1,75 	 9 	 11 	 76 	 -1,9 	  
15:20 27.01.2019 	 1,56 	 1,83 	 10 	 13 	 75 	 -1,4 	  
15:10 27.01.2019 	 1,66 	 1,92 	 9 	 11 	 79 	 -1,6 	  
15:00 27.01.2019 	 1,77 	 2,01 	 9 	 11 	 79 	 -1,9 	  
14:50 27.01.2019 	 1,88 	 2,12 	 9 	 12 	 80 	 -2,4 	  
14:40 27.01.2019 	 1,99 	 2,23 	 9 	 11 	 80 	 -2,1 	  
14:30 27.01.2019 	 2,11 	 2,36 	 9 	 10 	 82 	 -2,4 	  
14:20 27.01.2019 	 2,23 	 2,48 	 9 	 11 	 82 	 -2,7 	  
14:10 27.01.2019 	 2,34 	 2,6 	 9 	 11 	 83 	 -2,5 	  
14:00 27.01.2019 	 2,46 	 2,72 	 10 	 12 	 78 	 -2,5 	  
13:50 27.01.2019 	 2,57 	 2,83 	 10 	 11 	 84 	 -2,6 	  
13:40 27.01.2019 	 2,69 	 2,95 	 10 	 13 	 81 	 -2,9 	  
13:30 27.01.2019 	 2,8 	 3,08 	 11 	 14 	 80 	 -2,8 	  
13:20 27.01.2019 	 2,9 	 3,19 	 11 	 14 	 79 	 -2,6 	  
13:10 27.01.2019 	 3 	 3,3 	 10 	 12 	 79 	 -2,6 	  
13:00 27.01.2019 	 3,1 	 3,38 	 10 	 12 	 78 	 -2,6 	  
12:50 27.01.2019 	 3,19 	 3,48 	 11 	 13 	 76 	 -2,7 	  
12:40 27.01.2019 	 3,28 	 3,54 	 10 	 13 	 78 	 -2,7 	  
12:30 27.01.2019 	 3,35 	 3,63 	 9 	 11 	 76 	 -2,8 	  
12:20 27.01.2019 	 3,42 	 3,69 	 9 	 11 	 78 	 -2,9 	  
12:10 27.01.2019 	 3,49 	 3,76 	 9 	 11 	 80 	 -3 	  
12:00 27.01.2019 	 3,54 	 3,83 	 9 	 12 	 77 	 -3 	  
11:50 27.01.2019 	 3,59 	 3,86 	 10 	 12 	 75 	 -2,9 	  
11:40 27.01.2019 	 3,63 	 3,87 	 10 	 12 	 74 	 -3 	  
11:30 27.01.2019 	 3,65 	 3,91 	 11 	 13 	 73 	 -3 	  
11:20 27.01.2019 	 3,67 	 3,89 	 11 	 13 	 72 	 -2,8 	  
11:10 27.01.2019 	 3,68 	 3,9 	 11 	 13 	 74 	 -3,3 	  
11:00 27.01.2019 	 3,68 	 3,89 	 10 	 12 	 76 	 -3,2 	  
10:50 27.01.2019 	 3,67 	 3,85 	 10 	 12 	 80 	 -3,3 	  
10:40 27.01.2019 	 3,65 	 3,85 	 10 	 13 	 77 	 -3,2 	  
10:30 27.01.2019 	 3,62 	 3,8 	 10 	 13 	 78 	 -3,2 	  
10:20 27.01.2019 	 3,58 	 3,75 	 10 	 13 	 80 	 -3,4 	  
10:10 27.01.2019 	 3,53 	 3,73 	 10 	 12 	 78 	 -3 	  
10:00 27.01.2019 	 3,47 	 3,66 	 10 	 13 	 76 	 -3,3 	  
09:50 27.01.2019 	 3,4 	 3,6 	 11 	 13 	 75 	 -3,1 	  
09:40 27.01.2019 	 3,33 	 3,53 	 11 	 13 	 75 	 -3,3 	  
09:30 27.01.2019 	 3,25 	 3,45 	 11 	 14 	 74 	 -3,4 	  
09:20 27.01.2019 	 3,16 	 3,39 	 11 	 12 	 73 	 -3,6 	  
09:10 27.01.2019 	 3,06 	 3,31 	 10 	 13 	 75 	 -3,9 	  
09:00 27.01.2019 	 2,96 	 3,2 	 10 	 12 	 76 	 -4,1 	  
08:50 27.01.2019 	 2,86 	 3,1 	 10 	 13 	 75 	 -3,9 	  
08:40 27.01.2019 	 2,75 	 2,97 	 10 	 13 	 80 	 -3,9 	  
08:30 27.01.2019 	 2,63 	 2,83 	 10 	 13 	 81 	 -4,3 	  
08:20 27.01.2019 	 2,52 	 2,73 	 11 	 14 	 77 	 -4 	  
08:10 27.01.2019 	 2,4 	 2,59 	 10 	 14 	 78 	 -4,3 	  
08:00 27.01.2019 	 2,28 	 2,45 	 9 	 12 	 80 	 -4,3 	  
07:50 27.01.2019 	 2,16 	 2,32 	 9 	 11 	 85 	 -4,3 	  
07:40 27.01.2019 	 2,04 	 2,16 	 8 	 11 	 82 	 -4,4 	  
07:30 27.01.2019 	 1,92 	 2,04 	 9 	 11 	 82 	 -4,8 	  
07:20 27.01.2019 	 1,8 	 1,92 	 10 	 12 	 80 	 -4,8 	  
07:10 27.01.2019 	 1,69 	 1,79 	 10 	 12 	 81 	 -4,5 	  
07:00 27.01.2019 	 1,58 	 1,7 	 10 	 12 	 77 	 -4,9 	  
06:50 27.01.2019 	 1,48 	 1,6 	 11 	 13 	 75 	 -4,8 	  
06:40 27.01.2019 	 1,37 	 1,52 	 11 	 13 	 74 	 -5 	  
06:30 27.01.2019 	 1,28 	 1,43 	 10 	 13 	 78 	 -4,9 	  
06:20 27.01.2019 	 1,19 	 1,36 	 10 	 12 	 82 	 -5 	  
06:10 27.01.2019 	 1,11 	 1,3 	 10 	 12 	 81 	 -4,4 	  
06:00 27.01.2019 	 1,04 	 1,27 	 9 	 12 	 82 	 -4,2 	  
05:50 27.01.2019 	 0,97 	 1,2 	 9 	 11 	 81 	 -4,2 	  
05:40 27.01.2019 	 0,92 	 1,15 	 9 	 12 	 83 	 -4,1 	  
05:30 27.01.2019 	 0,87 	 1,09 	 9 	 12 	 82 	 -4,3 	  
05:20 27.01.2019 	 0,84 	 1,08 	 9 	 11 	 80 	 -4,2 	  
05:10 27.01.2019 	 0,81 	 1,07 	 9 	 12 	 82 	 -4,4 	  
05:00 27.01.2019 	 0,8 	 1,04 	 9 	 11 	 83 	 -4,4 	  
04:50 27.01.2019 	 0,79 	 1,02 	 8 	 11 	 83 	 -4,2 	  
04:40 27.01.2019 	 0,8 	 1,03 	 8 	 10 	 88 	 -4,2 	  
04:30 27.01.2019 	 0,82 	 1,06 	 8 	 11 	 87 	 -4 	  
04:20 27.01.2019 	 0,85 	 1,09 	 8 	 10 	 89 	 -4 	  
04:10 27.01.2019 	 0,89 	 1,11 	 8 	 10 	 86 	 -4,2 	  
04:00 27.01.2019 	 0,94 	 1,14 	 9 	 10 	 87 	 -4,1 	  
03:50 27.01.2019 	 1 	 1,18 	 8 	 10 	 84 	 -4,1 	  
03:40 27.01.2019 	 1,07 	 1,25 	 8 	 10 	 83 	 -4,2 	  
03:30 27.01.2019 	 1,15 	 1,32 	 7 	 9 	 84 	 -4,2 	  
03:20 27.01.2019 	 1,23 	 1,4 	 7 	 9 	 87 	 -3,8 	  
03:10 27.01.2019 	 1,33 	 1,49 	 6 	 8 	 94 	 -3,9 	  
03:00 27.01.2019 	 1,43 	 1,62 	 6 	 8 	 91 	 -3,6 	  
02:50 27.01.2019 	 1,54 	 1,72 	 6 	 8 	 88 	 -3,8 	  
02:40 27.01.2019 	 1,65 	 1,87 	 6 	 8 	 90 	 -3,9 	  
02:30 27.01.2019 	 1,76 	 2,02 	 6 	 7 	 95 	 -4 	  
02:20 27.01.2019 	 1,88 	 2,14 	 4 	 6 	 106 	 -4 	  
02:10 27.01.2019 	 2 	 2,26 	 5 	 6 	 107 	 -3,8 	  
02:00 27.01.2019 	 2,12 	 2,38 	 5 	 6 	 98 	 -3,7 	  
01:50 27.01.2019 	 2,25 	 2,49 	 4 	 5 	 101 	 -3,4 	  
01:40 27.01.2019 	 2,37 	 2,62 	 4 	 5 	 105 	 -3,8 	  
01:30 27.01.2019 	 2,49 	 2,77 	 3 	 4 	 122 	 -4,4 	  
01:20 27.01.2019 	 2,61 	 2,9 	 3 	 4 	 107 	 -4,2 	  
01:10 27.01.2019 	 2,72 	 3 	 3 	 4 	 123 	 -4,4 	  
01:00 27.01.2019 	 2,83 	 3,07 	 3 	 4 	 119 	 -4,4 	  
00:50 27.01.2019 	 2,94 	 3,18 	 3 	 3 	 118 	 -4,6 	  
00:40 27.01.2019 	 3,04 	 3,23 	 3 	 4 	 109 	 -4,5 	  
00:30 27.01.2019 	 3,14 	 3,33 	 3 	 4 	 121 	 -4,5 	  
00:20 27.01.2019 	 3,23 	 3,4 	 3 	 4 	 113 	 -4,6 	  
00:10 27.01.2019 	 3,31 	 3,47 	 3 	 4 	 123 	 -4,8 	  
00:00 27.01.2019 	 3,39 	 3,54 	 3 	 4 	 127 	 -5,5 	  
23:50 26.01.2019 	 3,46 	 3,57 	 3 	 4 	 121 	 -5,2 	  
23:40 26.01.2019 	 3,51 	 3,61 	 3 	 4 	 128 	 -5,9 	  
23:30 26.01.2019 	 3,56 	 3,65 	 3 	 4 	 114 	 -5,6 	  
23:20 26.01.2019 	 3,6 	 3,68 	 3 	 4 	 110 	 -5,6 	  
23:10 26.01.2019 	 3,63 	 3,71 	 4 	 4 	 124 	 -6,5 	  
23:00 26.01.2019 	 3,65 	 3,76 	 4 	 5 	 133 	 -6,7 	  
22:50 26.01.2019 	 3,66 	 3,75 	 3 	 4 	 138 	 -6,8 	  
22:40 26.01.2019 	 3,66 	 3,77 	 3 	 4 	 140 	 -7,3 	  
22:30 26.01.2019 	 3,65 	 3,76 	 4 	 4 	 134 	 -6,9 	  
22:20 26.01.2019 	 3,63 	 3,75 	 3 	 4 	 136 	 -6,8 	  
22:10 26.01.2019 	 3,6 	 3,73 	 3 	 4 	 131 	 -6,6 	  
22:00 26.01.2019 	 3,56 	 3,72 	 4 	 5 	 128 	 -6,8 	  
21:50 26.01.2019 	 3,51 	 3,64 	 3 	 4 	 125 	 -7,3 	  
21:40 26.01.2019 	 3,45 	 3,6 	 3 	 4 	 134 	 -7,3 	  
21:30 26.01.2019 	 3,38 	 3,5 	 3 	 4 	 136 	 -7 	  
21:20 26.01.2019 	 3,3 	 3,44 	 3 	 4 	 143 	 -7,4 	  
21:10 26.01.2019 	 3,22 	 3,37 	 4 	 4 	 134 	 -7,5 	  
21:00 26.01.2019 	 3,13 	 3,26 	 4 	 5 	 134 	 -7,3 	  
20:50 26.01.2019 	 3,03 	 3,2 	 4 	 5 	 138 	 -7,1 	  
20:40 26.01.2019 	 2,92 	 3,08 	 4 	 5 	 135 	 -7,6 	  
20:30 26.01.2019 	 2,81 	 2,97 	 4 	 4 	 129 	 -7,6 	  
20:20 26.01.2019 	 2,7 	 2,82 	 4 	 4 	 127 	 -7,3 	  
20:10 26.01.2019 	 2,58 	 2,68 	 4 	 5 	 132 	 -7,4 	  
20:00 26.01.2019 	 2,46 	 2,54 	 4 	 5 	 132 	 -6,8 	  
19:50 26.01.2019 	 2,33 	 2,4 	 4 	 4 	 136 	 -6,9 	  
19:40 26.01.2019 	 2,2 	 2,29 	 3 	 4 	 137 	 -6,7 	  
19:30 26.01.2019 	 2,08 	 2,16 	 3 	 4 	 137 	 -6,9 	  
19:20 26.01.2019 	 1,95 	 2,04 	 4 	 4 	 135 	 -6,7 	  
19:10 26.01.2019 	 1,82 	 1,89 	 3 	 4 	 123 	 -6,6 	  
19:00 26.01.2019 	 1,7 	 1,72 	 4 	 5 	 134 	 -7,1 	  
18:50 26.01.2019 	 1,58 	 1,58 	 4 	 4 	 131 	 -7,1 	  
18:40 26.01.2019 	 1,46 	 1,48 	 3 	 4 	 130 	 -6,7 	  
18:30 26.01.2019 	 1,34 	 1,4 	 3 	 4 	 140 	 -7 	  
18:20 26.01.2019 	 1,23 	 1,35 	 3 	 4 	 133 	 -6,9 	  
18:10 26.01.2019 	 1,13 	 1,26 	 3 	 4 	 133 	 -6,7 	  
18:00 26.01.2019 	 1,03 	 1,13 	 4 	 4 	 138 	 -6,8 	  
17:50 26.01.2019 	 0,94 	 1,02 	 3 	 4 	 136 	 -6,3 	  
17:40 26.01.2019 	 0,86 	 0,94 	 3 	 4 	 133 	 -6,3 	  
17:30 26.01.2019 	 0,79 	 0,87 	 2 	 3 	 132 	 -6,3 	  
17:20 26.01.2019 	 0,73 	 0,84 	 3 	 3 	 130 	 -6,1 	  
17:10 26.01.2019 	 0,68 	 0,82 	 3 	 3 	 136 	 -5,8 	  
17:00 26.01.2019 	 0,64 	 0,8 	 3 	 3 	 132 	 -5,9 	  
16:50 26.01.2019 	 0,61 	 0,78 	 2 	 3 	 126 	 -6 	  
16:40 26.01.2019 	 0,59 	 0,77 	 3 	 3 	 135 	 -6 	  
16:30 26.01.2019 	 0,58 	 0,74 	 3 	 4 	 128 	 -5,7 	  
16:20 26.01.2019 	 0,59 	 0,73 	 3 	 4 	 130 	 -5,8 	  
16:10 26.01.2019 	 0,61 	 0,73 	 2 	 3 	 119 	 -5,5 	  
16:00 26.01.2019 	 0,64 	 0,81 	 2 	 3 	 127 	 -5,4 	  
15:50 26.01.2019 	 0,68 	 0,85 	 3 	 3 	 133 	 -5,3 	  
15:40 26.01.2019 	 0,73 	 0,88 	 2 	 3 	 133 	 -4,8 	  
15:30 26.01.2019 	 0,8 	 0,95 	 2 	 3 	 127 	 -4,9 	  
15:20 26.01.2019 	 0,88 	 1 	 3 	 4 	 123 	 -4,9 	  
15:10 26.01.2019 	 0,96 	 1,05 	 3 	 4 	 129 	 -4,7 	  
15:00 26.01.2019 	 1,06 	 1,18 	 2 	 3 	 118 	 -4,9 	  
14:50 26.01.2019 	 1,16 	 1,29 	 1 	 2 	 142 	 -4,7 	  
14:40 26.01.2019 	 1,28 	 1,42 	 1 	 2 	 149 	 -4,5 	  
14:30 26.01.2019 	 1,4 	 1,58 	 2 	 3 	 156 	 -4,9 	  
14:20 26.01.2019 	 1,52 	 1,69 	 2 	 3 	 133 	 -4,9 	  
14:10 26.01.2019 	 1,66 	 1,82 	 3 	 4 	 132 	 -4,9 	  
14:00 26.01.2019 	 1,79 	 1,97 	 3 	 3 	 129 	 -4,9 	  
13:50 26.01.2019 	 1,93 	 2,11 	 3 	 3 	 136 	 -4,5 	  
13:40 26.01.2019 	 2,07 	 2,28 	 3 	 3 	 136 	 -4,7 	  
13:30 26.01.2019 	 2,22 	 2,43 	 3 	 4 	 129 	 -4,8 	  
13:20 26.01.2019 	 2,36 	 2,55 	 3 	 4 	 131 	 -4,6 	  
13:10 26.01.2019 	 2,5 	 2,71 	 3 	 3 	 132 	 -4,9 	  
13:00 26.01.2019 	 2,64 	 2,84 	 3 	 4 	 127 	 -4,8 	  
12:50 26.01.2019 	 2,78 	 2,99 	 3 	 4 	 134 	 -4,9 	  
12:40 26.01.2019 	 2,92 	 3,13 	 3 	 4 	 133 	 -5,2 	  
12:30 26.01.2019 	 3,05 	 3,26 	 3 	 4 	 133 	 -5,1 	  
12:20 26.01.2019 	 3,17 	 3,38 	 3 	 3 	 135 	 -5,2 	  
12:10 26.01.2019 	 3,29 	 3,48 	 3 	 3 	 136 	 -5,4 	  
12:00 26.01.2019 	 3,41 	 3,58 	 3 	 4 	 137 	 -5,6 	  
11:50 26.01.2019 	 3,51 	 3,68 	 3 	 4 	 128 	 -5,4 	  
11:40 26.01.2019 	 3,61 	 3,75 	 3 	 3 	 132 	 -5,4 	  
11:30 26.01.2019 	 3,7 	 3,84 	 3 	 4 	 135 	 -5,4 	  
11:20 26.01.2019 	 3,77 	 3,88 	 3 	 4 	 133 	 -5,4 	  
11:10 26.01.2019 	 3,84 	 3,94 	 3 	 4 	 127 	 -5,3 	  
11:00 26.01.2019 	 3,9 	 4,01 	 3 	 4 	 133 	 -5,1 	  
10:50 26.01.2019 	 3,95 	 4,05 	 3 	 3 	 133 	 -5,2 	  
10:40 26.01.2019 	 3,98 	 4,09 	 3 	 4 	 134 	 -4,9 	  
10:30 26.01.2019 	 4,01 	 4,12 	 3 	 4 	 125 	 -4,5 	  
10:20 26.01.2019 	 4,02 	 4,11 	 2 	 3 	 124 	 -4,3 	  
10:10 26.01.2019 	 4,02 	 4,14 	 3 	 3 	 131 	 -4,3 	  
10:00 26.01.2019 	 4,01 	 4,13 	 3 	 4 	 133 	 -4,5 	  
09:50 26.01.2019 	 3,98 	 4,12 	 3 	 4 	 133 	 -4,3 	  
09:40 26.01.2019 	 3,95 	 4,09 	 3 	 4 	 136 	 -3,9 	  
09:30 26.01.2019 	 3,9 	 4,05 	 3 	 4 	 135 	 -3,9 	  
09:20 26.01.2019 	 3,85 	 4 	 3 	 3 	 138 	 -3,7 	  
09:10 26.01.2019 	 3,78 	 3,93 	 2 	 3 	 141 	 -3,9 	  
09:00 26.01.2019 	 3,7 	 3,84 	 2 	 2 	 138 	 -3,4 	  
