 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
18:30 30.01.2019 	 2,04 	 -3,75 	 8 	 10 	 64 	 1003 	 -3,7 	 -15 	 15 	  
18:20 30.01.2019 	 2,1 	 -3,75 	 9 	 12 	 63 	 1003 	 -3,7 	 -15 	 15 	  
18:10 30.01.2019 	 2,17 	 -3,75 	 9 	 11 	 60 	 1003 	 -4 	 -15 	 15 	  
18:00 30.01.2019 	 2,24 	 -3,75 	 9 	 11 	 65 	 1003 	 -3,8 	 -15 	 15 	  
17:50 30.01.2019 	 2,3 	 -3,75 	 8 	 10 	 64 	 1003 	 -3,7 	 -15 	 15 	  
17:40 30.01.2019 	 2,37 	 -3,75 	 8 	 10 	 65 	 1003 	 -3,6 	 -15 	 15 	  
17:30 30.01.2019 	 2,43 	 -3,75 	 8 	 10 	 65 	 1003 	 -3,4 	 -15 	 15 	  
17:20 30.01.2019 	 2,5 	 -3,75 	 9 	 12 	 61 	 1003 	 -3,5 	 -15 	 15 	  
17:10 30.01.2019 	 2,56 	 -3,75 	 10 	 13 	 63 	 1003 	 -3,6 	 -15 	 15 	  
17:00 30.01.2019 	 2,62 	 -3,75 	 10 	 13 	 59 	 1003 	 -3,7 	 -15 	 15 	  
16:50 30.01.2019 	 2,68 	 -3,75 	 10 	 13 	 58 	 1003 	 -4 	 -15 	 15 	  
16:40 30.01.2019 	 2,74 	 -3,75 	 10 	 13 	 63 	 1003 	 -3,6 	 -15 	 15 	  
16:30 30.01.2019 	 2,79 	 -3,75 	 8 	 11 	 65 	 1003 	 -3,3 	 -15 	 15 	  
16:20 30.01.2019 	 2,84 	 -3,75 	 5 	 9 	 94 	 1003 	 -4 	 -15 	 15 	  
16:10 30.01.2019 	 2,89 	 -3,75 	 5 	 6 	 98 	 1003 	 -4,3 	 -15 	 15 	  
16:00 30.01.2019 	 2,93 	 -3,75 	 6 	 11 	 84 	 1003 	 -3,9 	 -15 	 15 	  
15:50 30.01.2019 	 2,97 	 -3,75 	 5 	 6 	 100 	 1003 	 -4,8 	 -15 	 15 	  
15:40 30.01.2019 	 3,01 	 -3,75 	 6 	 10 	 90 	 1003 	 -4,4 	 -15 	 15 	  
15:30 30.01.2019 	 3,03 	 -3,75 	 5 	 8 	 97 	 1003 	 -3,7 	 -15 	 15 	  
15:20 30.01.2019 	 3,06 	 -3,75 	 6 	 9 	 95 	 1003 	 -4,3 	 -15 	 15 	  
15:10 30.01.2019 	 3,08 	 -3,75 	 7 	 11 	 85 	 1003 	 -2,8 	 -15 	 15 	  
15:00 30.01.2019 	 3,09 	 -3,75 	 5 	 7 	 101 	 1003 	 -3,8 	 -15 	 15 	  
14:50 30.01.2019 	 3,1 	 -3,75 	 5 	 7 	 106 	 1003 	 -4,3 	 -15 	 15 	  
14:40 30.01.2019 	 3,11 	 -3,75 	 5 	 6 	 106 	 1003 	 -4,4 	 -15 	 15 	  
14:30 30.01.2019 	 3,11 	 -3,75 	 5 	 6 	 111 	 1003 	 -4 	 -15 	 15 	  
14:20 30.01.2019 	 3,1 	 -3,75 	 5 	 6 	 114 	 1003 	 -4,6 	 -15 	 15 	  
14:10 30.01.2019 	 3,09 	 -3,75 	 5 	 6 	 109 	 1003 	 -4,4 	 -15 	 15 	  
14:00 30.01.2019 	 3,07 	 -3,75 	 5 	 6 	 109 	 1003 	 -5 	 -15 	 15 	  
13:50 30.01.2019 	 3,05 	 -3,75 	 6 	 6 	 105 	 1003 	 -5,3 	 -15 	 15 	  
13:40 30.01.2019 	 3,02 	 -3,75 	 4 	 6 	 100 	 1003 	 -5 	 -15 	 15 	  
13:30 30.01.2019 	 2,98 	 -3,75 	 4 	 8 	 86 	 1003 	 -4,3 	 -15 	 15 	  
13:20 30.01.2019 	 2,94 	 -3,75 	 5 	 9 	 91 	 1003 	 -3,3 	 -15 	 15 	  
13:10 30.01.2019 	 2,9 	 -3,75 	 9 	 12 	 66 	 1003 	 -2,9 	 -15 	 15 	  
13:00 30.01.2019 	 2,85 	 -3,75 	 10 	 12 	 68 	 1003 	 -3,3 	 -15 	 15 	  
12:50 30.01.2019 	 2,8 	 -3,75 	 12 	 15 	 62 	 1003 	 -2,4 	 -15 	 15 	  
12:40 30.01.2019 	 2,74 	 -3,75 	 11 	 14 	 74 	 1003 	 -3,1 	 -15 	 15 	  
12:30 30.01.2019 	 2,68 	 -3,75 	 10 	 13 	 75 	 1003 	 -3,1 	 -15 	 15 	  
12:20 30.01.2019 	 2,62 	 -3,75 	 11 	 13 	 73 	 1003 	 -3,1 	 -15 	 15 	  
12:10 30.01.2019 	 2,55 	 -3,75 	 9 	 13 	 78 	 1003 	 -2,4 	 -15 	 15 	  
12:00 30.01.2019 	 2,49 	 -3,75 	 8 	 11 	 83 	 1003 	 -2,4 	 -15 	 15 	  
11:50 30.01.2019 	 2,42 	 -3,75 	 5 	 9 	 89 	 1003 	 -3 	 -15 	 15 	  
11:40 30.01.2019 	 2,35 	 -3,75 	 9 	 13 	 73 	 1003 	 -3,7 	 -15 	 15 	  
11:30 30.01.2019 	 2,28 	 -3,75 	 11 	 15 	 63 	 1003 	 -3,5 	 -15 	 15 	  
11:20 30.01.2019 	 2,21 	 -3,75 	 11 	 15 	 66 	 1003 	 -3,2 	 -15 	 15 	  
11:10 30.01.2019 	 2,14 	 -3,75 	 9 	 11 	 87 	 1003 	 -3,1 	 -15 	 15 	  
