 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
05:10 31.01.2019 	 2,08 	 1,96 	 6 	 8 	 44 	 1004 	 -4,7 	  
05:00 31.01.2019 	 2,12 	 1,99 	 6 	 9 	 48 	 1004 	 -4 	  
04:50 31.01.2019 	 2,18 	 2,12 	 5 	 7 	 49 	 1004 	 -4,6 	  
04:40 31.01.2019 	 2,21 	 2,2 	 6 	 8 	 48 	 1004 	 -4,7 	  
04:30 31.01.2019 	 2,26 	 2,14 	 6 	 9 	 47 	 1004 	 -4,7 	  
04:20 31.01.2019 	 2,29 	 2,26 	 6 	 8 	 48 	 1004 	 -4,6 	  
04:10 31.01.2019 	 2,33 	 2,33 	 6 	 9 	 47 	 1004 	 -4,3 	  
04:00 31.01.2019 	 2,36 	 2,3 	 7 	 9 	 51 	 1004 	 -3,9 	  
03:50 31.01.2019 	 2,38 	 2,35 	 8 	 10 	 50 	 1004 	 -3 	  
03:40 31.01.2019 	 2,4 	 2,42 	 7 	 10 	 49 	 1004 	 -3,2 	  
03:30 31.01.2019 	 2,42 	 2,35 	 8 	 10 	 50 	 1004 	 -3,5 	  
03:20 31.01.2019 	 2,43 	 2,38 	 8 	 10 	 45 	 1004 	 -3,8 	  
03:10 31.01.2019 	 2,44 	 2,39 	 7 	 10 	 46 	 1004 	 -3,9 	  
03:00 31.01.2019 	 2,44 	 2,39 	 7 	 11 	 41 	 1004 	 -3,8 	  
02:50 31.01.2019 	 2,44 	 2,43 	 8 	 11 	 46 	 1004 	 -3,8 	  
02:40 31.01.2019 	 2,43 	 2,39 	 8 	 10 	 43 	 1004 	 -3,2 	  
02:30 31.01.2019 	 2,42 	 2,4 	 8 	 10 	 38 	 1004 	 -3,8 	  
02:20 31.01.2019 	 2,41 	 2,41 	 7 	 10 	 37 	 1004 	 -3,6 	  
02:10 31.01.2019 	 2,39 	 2,41 	 8 	 10 	 41 	 1004 	 -3,8 	  
02:00 31.01.2019 	 2,37 	 2,32 	 7 	 11 	 41 	 1004 	 -3,8 	  
01:50 31.01.2019 	 2,34 	 2,29 	 8 	 11 	 39 	 1004 	 -3,7 	  
01:40 31.01.2019 	 2,31 	 2,27 	 8 	 11 	 39 	 1004 	 -3,8 	  
01:30 31.01.2019 	 2,27 	 2,24 	 8 	 10 	 43 	 1004 	 -3,8 	  
01:20 31.01.2019 	 2,24 	 2,15 	 8 	 11 	 42 	 1004 	 -3,8 	  
01:10 31.01.2019 	 2,2 	 2,16 	 8 	 12 	 46 	 1004 	 -3,9 	  
01:00 31.01.2019 	 2,15 	 2,1 	 9 	 13 	 48 	 1004 	 -3,8 	  
00:50 31.01.2019 	 2,1 	 2,05 	 10 	 13 	 48 	 1003 	 -3,8 	  
00:40 31.01.2019 	 2,05 	 1,99 	 10 	 14 	 51 	 1003 	 -3,1 	  
00:30 31.01.2019 	 2 	 1,92 	 10 	 14 	 48 	 1003 	 -3,8 	  
00:20 31.01.2019 	 1,94 	 1,92 	 10 	 13 	 48 	 1003 	 -3,8 	  
00:10 31.01.2019 	 1,88 	 1,85 	 10 	 13 	 48 	 1003 	 -3,8 	  
00:00 31.01.2019 	 1,83 	 1,76 	 9 	 12 	 51 	 1003 	 -3,9 	  
23:50 30.01.2019 	 1,77 	 1,65 	 9 	 12 	 50 	 1003 	 -4 	  
23:40 30.01.2019 	 1,71 	 1,59 	 10 	 13 	 52 	 1003 	 -3,9 	  
23:30 30.01.2019 	 1,65 	 1,51 	 9 	 12 	 52 	 1003 	 -3,5 	  
23:20 30.01.2019 	 1,6 	 1,5 	 9 	 12 	 52 	 1003 	 -3,8 	  
23:10 30.01.2019 	 1,54 	 1,39 	 9 	 13 	 48 	 1003 	 -3,8 	  
23:00 30.01.2019 	 1,49 	 1,41 	 9 	 12 	 51 	 1003 	 -4,4 	  
22:50 30.01.2019 	 1,43 	 1,37 	 9 	 13 	 50 	 1003 	 -4,9 	  
22:40 30.01.2019 	 1,38 	 1,31 	 10 	 12 	 52 	 1003 	 -4,8 	  
22:30 30.01.2019 	 1,33 	 1,26 	 9 	 12 	 54 	 1003 	 -4,4 	  
22:20 30.01.2019 	 1,28 	 1,24 	 9 	 13 	 50 	 1003 	 -4,8 	  
22:10 30.01.2019 	 1,24 	 1,11 	 10 	 13 	 52 	 1003 	 -4,1 	  
22:00 30.01.2019 	 1,2 	 1,12 	 9 	 12 	 53 	 1003 	 -4,3 	  
21:50 30.01.2019 	 1,16 	 1,07 	 10 	 14 	 57 	 1003 	 -3,9 	  
21:40 30.01.2019 	 1,13 	 1,01 	 9 	 11 	 59 	 1003 	 -3,9 	  
21:30 30.01.2019 	 1,1 	 0,98 	 10 	 13 	 58 	 1003 	 -3,9 	  
21:20 30.01.2019 	 1,08 	 0,94 	 8 	 11 	 59 	 1003 	 -3,8 	  
21:10 30.01.2019 	 1,06 	 0,94 	 9 	 12 	 52 	 1003 	 -4,4 	  
21:00 30.01.2019 	 1,04 	 0,9 	 9 	 11 	 52 	 1003 	 -4,7 	  
20:50 30.01.2019 	 1,04 	 0,91 	 8 	 11 	 52 	 1003 	 -4,9 	  
20:40 30.01.2019 	 1,03 	 0,92 	 9 	 12 	 52 	 1003 	 -4,8 	  
20:30 30.01.2019 	 1,02 	 0,92 	 9 	 11 	 51 	 1002 	 -5,1 	  
20:20 30.01.2019 	 1,03 	 0,95 	 9 	 12 	 50 	 1003 	 -4,6 	  
20:10 30.01.2019 	 1,04 	 0,84 	 9 	 14 	 49 	 1003 	 -3,9 	  
20:00 30.01.2019 	 1,04 	 0,83 	 9 	 12 	 52 	 1003 	 -4,8 	  
19:50 30.01.2019 	 1,06 	 0,8 	 9 	 14 	 50 	 1003 	 -4,2 	  
19:40 30.01.2019 	 1,08 	 0,93 	 10 	 13 	 53 	 1003 	 -4,6 	  
19:30 30.01.2019 	 1,1 	 0,93 	 10 	 12 	 56 	 1003 	 -4,2 	  
19:20 30.01.2019 	 1,13 	 0,99 	 10 	 12 	 56 	 1003 	 -4,6 	  
19:10 30.01.2019 	 1,16 	 0,99 	 10 	 12 	 55 	 1003 	 -4,5 	  
19:00 30.01.2019 	 1,19 	 1,06 	 9 	 12 	 53 	 1003 	 -4,5 	  
18:50 30.01.2019 	 1,23 	 1,08 	 10 	 14 	 56 	 1003 	 -4,2 	  
18:40 30.01.2019 	 1,28 	 1,12 	 11 	 14 	 56 	 1003 	 -4,4 	  
18:30 30.01.2019 	 1,31 	 1,17 	 10 	 13 	 58 	 1003 	 -4,7 	  
18:20 30.01.2019 	 1,36 	 1,23 	 10 	 14 	 56 	 1003 	 -4,9 	  
