 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
01:50 31.01.2019 	 2,5 	 -6999 	 -6999 	 3 	 6 	 13 	 1006 	 -7 	  
01:40 31.01.2019 	 2,46 	 -6999 	 -6999 	 2 	 3 	 359 	 1006 	 -7,8 	  
01:30 31.01.2019 	 2,42 	 -6999 	 -6999 	 2 	 4 	 354 	 1006 	 -8,2 	  
01:20 31.01.2019 	 2,38 	 -6999 	 -6999 	 2 	 4 	 360 	 1006 	 -8,3 	  
01:10 31.01.2019 	 2,34 	 -6999 	 -6999 	 1 	 4 	 11 	 1006 	 -7,3 	  
01:00 31.01.2019 	 2,29 	 -6999 	 -6999 	 1 	 2 	 354 	 1006 	 -6,1 	  
00:50 31.01.2019 	 2,24 	 -6999 	 -6999 	 1 	 3 	 353 	 1006 	 -6,3 	  
00:40 31.01.2019 	 2,18 	 -6999 	 -6999 	 2 	 3 	 354 	 1006 	 -6,3 	  
00:30 31.01.2019 	 2,13 	 -6999 	 -6999 	 3 	 4 	 359 	 1006 	 -7,1 	  
00:20 31.01.2019 	 2,07 	 -6999 	 -6999 	 4 	 5 	 5 	 1006 	 -7,7 	  
00:10 31.01.2019 	 2,01 	 -6999 	 -6999 	 4 	 7 	 14 	 1006 	 -6,8 	  
00:00 31.01.2019 	 1,95 	 -6999 	 -6999 	 5 	 7 	 16 	 1005 	 -6,8 	  
23:50 30.01.2019 	 1,89 	 -6999 	 -6999 	 4 	 6 	 13 	 1005 	 -7,3 	  
23:40 30.01.2019 	 1,82 	 -6999 	 -6999 	 4 	 6 	 14 	 1005 	 -6,9 	  
23:30 30.01.2019 	 1,76 	 -6999 	 -6999 	 3 	 5 	 15 	 1005 	 -6,2 	  
23:20 30.01.2019 	 1,7 	 -6999 	 -6999 	 4 	 6 	 12 	 1005 	 -6,4 	  
23:10 30.01.2019 	 1,64 	 -6999 	 -6999 	 4 	 5 	 13 	 1005 	 -6,1 	  
23:00 30.01.2019 	 1,58 	 -6999 	 -6999 	 3 	 5 	 15 	 1005 	 -6,5 	  
22:50 30.01.2019 	 1,53 	 -6999 	 -6999 	 4 	 6 	 3 	 1005 	 -6,6 	  
22:40 30.01.2019 	 1,47 	 -6999 	 -6999 	 4 	 7 	 16 	 1005 	 -7,1 	  
22:30 30.01.2019 	 1,42 	 -6999 	 -6999 	 4 	 6 	 17 	 1005 	 -6,2 	  
22:20 30.01.2019 	 1,37 	 -6999 	 -6999 	 5 	 8 	 26 	 1005 	 -5,2 	  
22:10 30.01.2019 	 1,32 	 -6999 	 -6999 	 6 	 9 	 25 	 1005 	 -5 	  
22:00 30.01.2019 	 1,28 	 -6999 	 -6999 	 5 	 8 	 16 	 1005 	 -5,6 	  
21:50 30.01.2019 	 1,24 	 -6999 	 -6999 	 6 	 9 	 14 	 1005 	 -6 	  
21:40 30.01.2019 	 1,21 	 -6999 	 -6999 	 6 	 9 	 15 	 1005 	 -5,4 	  
21:30 30.01.2019 	 1,18 	 -6999 	 -6999 	 6 	 9 	 20 	 1005 	 -4,8 	  
21:20 30.01.2019 	 1,15 	 -6999 	 -6999 	 6 	 10 	 23 	 1005 	 -4,2 	  
21:10 30.01.2019 	 1,13 	 -6999 	 -6999 	 6 	 8 	 10 	 1005 	 -6,1 	  
21:00 30.01.2019 	 1,11 	 -6999 	 -6999 	 8 	 12 	 7 	 1004 	 -5,7 	  
20:50 30.01.2019 	 1,1 	 -6999 	 -6999 	 8 	 12 	 9 	 1004 	 -5,7 	  
