Time [yyyy/MM/dd HH:mm:ss],Patreksfjordur: water level (waterlevel) at Patreksfjordur_ FlowFM [m]
2020/02/25 21:40:00,0.96162
2020/02/25 21:45:00,0.95291
2020/02/25 21:50:00,0.94252
2020/02/25 21:55:00,0.93045
2020/02/25 22:00:00,0.91671
2020/02/25 22:05:00,0.90123
2020/02/25 22:10:00,0.88399
2020/02/25 22:15:00,0.86494
2020/02/25 22:20:00,0.84403
2020/02/25 22:25:00,0.82125
2020/02/25 22:30:00,0.79655
2020/02/25 22:35:00,0.76995
2020/02/25 22:40:00,0.74149
2020/02/25 22:45:00,0.71122
2020/02/25 22:50:00,0.67918
2020/02/25 22:55:00,0.6454
2020/02/25 23:00:00,0.60994
2020/02/25 23:05:00,0.57285
2020/02/25 23:10:00,0.53424
2020/02/25 23:15:00,0.4942
2020/02/25 23:20:00,0.45284
2020/02/25 23:25:00,0.41031
2020/02/25 23:30:00,0.36677
2020/02/25 23:35:00,0.32237
2020/02/25 23:40:00,0.27724
2020/02/25 23:45:00,0.23148
2020/02/25 23:50:00,0.18519
2020/02/25 23:55:00,0.13847
2020/02/26 00:00:00,0.091389
2020/02/26 00:05:00,0.044028
2020/02/26 00:10:00,-0.003553
2020/02/26 00:15:00,-0.051287
2020/02/26 00:20:00,-0.099093
2020/02/26 00:25:00,-0.14687
2020/02/26 00:30:00,-0.1945
2020/02/26 00:35:00,-0.24186
2020/02/26 00:40:00,-0.28884
2020/02/26 00:45:00,-0.33532
2020/02/26 00:50:00,-0.38117
2020/02/26 00:55:00,-0.42631
2020/02/26 01:00:00,-0.47067
2020/02/26 01:05:00,-0.51419
2020/02/26 01:10:00,-0.55681
2020/02/26 01:15:00,-0.59846
2020/02/26 01:20:00,-0.63904
2020/02/26 01:25:00,-0.67844
2020/02/26 01:30:00,-0.71652
2020/02/26 01:35:00,-0.75314
2020/02/26 01:40:00,-0.78818
2020/02/26 01:45:00,-0.82155
2020/02/26 01:50:00,-0.85315
2020/02/26 01:55:00,-0.88295
2020/02/26 02:00:00,-0.91092
2020/02/26 02:05:00,-0.93703
2020/02/26 02:10:00,-0.96127
2020/02/26 02:15:00,-0.98362
2020/02/26 02:20:00,-1.0041
2020/02/26 02:25:00,-1.0227
2020/02/26 02:30:00,-1.0394
2020/02/26 02:35:00,-1.0543
2020/02/26 02:40:00,-1.0674
2020/02/26 02:45:00,-1.0788
2020/02/26 02:50:00,-1.0884
2020/02/26 02:55:00,-1.0963
2020/02/26 03:00:00,-1.1024
2020/02/26 03:05:00,-1.1067
2020/02/26 03:10:00,-1.109
2020/02/26 03:15:00,-1.1095
2020/02/26 03:20:00,-1.1079
2020/02/26 03:25:00,-1.1044
2020/02/26 03:30:00,-1.0987
2020/02/26 03:35:00,-1.0909
2020/02/26 03:40:00,-1.0809
2020/02/26 03:45:00,-1.0685
2020/02/26 03:50:00,-1.0538
2020/02/26 03:55:00,-1.0366
2020/02/26 04:00:00,-1.0169
2020/02/26 04:05:00,-0.99487
2020/02/26 04:10:00,-0.9705
2020/02/26 04:15:00,-0.94395
2020/02/26 04:20:00,-0.91538
2020/02/26 04:25:00,-0.88492
2020/02/26 04:30:00,-0.85273
2020/02/26 04:35:00,-0.81891
2020/02/26 04:40:00,-0.78356
2020/02/26 04:45:00,-0.74677
2020/02/26 04:50:00,-0.7086
2020/02/26 04:55:00,-0.66911
2020/02/26 05:00:00,-0.62833
2020/02/26 05:05:00,-0.5863
2020/02/26 05:10:00,-0.54303
2020/02/26 05:15:00,-0.49853
2020/02/26 05:20:00,-0.45279
2020/02/26 05:25:00,-0.40579
2020/02/26 05:30:00,-0.35755
2020/02/26 05:35:00,-0.3081
2020/02/26 05:40:00,-0.2575
2020/02/26 05:45:00,-0.20587
2020/02/26 05:50:00,-0.15335
2020/02/26 05:55:00,-0.10009
2020/02/26 06:00:00,-0.046259
2020/02/26 06:05:00,0.0079657
2020/02/26 06:10:00,0.062425
2020/02/26 06:15:00,0.11697
2020/02/26 06:20:00,0.17145
2020/02/26 06:25:00,0.22574
2020/02/26 06:30:00,0.27976
2020/02/26 06:35:00,0.33341
2020/02/26 06:40:00,0.38662
2020/02/26 06:45:00,0.43935
2020/02/26 06:50:00,0.49157
2020/02/26 06:55:00,0.54323
2020/02/26 07:00:00,0.59432
2020/02/26 07:05:00,0.64478
2020/02/26 07:10:00,0.69458
2020/02/26 07:15:00,0.74362
2020/02/26 07:20:00,0.79176
2020/02/26 07:25:00,0.83887
2020/02/26 07:30:00,0.88477
2020/02/26 07:35:00,0.92931
2020/02/26 07:40:00,0.97233
2020/02/26 07:45:00,1.0137
2020/02/26 07:50:00,1.0532
2020/02/26 07:55:00,1.0909
2020/02/26 08:00:00,1.1266
2020/02/26 08:05:00,1.1602
2020/02/26 08:10:00,1.1918
2020/02/26 08:15:00,1.2212
2020/02/26 08:20:00,1.2485
2020/02/26 08:25:00,1.2738
2020/02/26 08:30:00,1.2971
